C	Chapter 8
V	21008001
c	a
i	c21008001.1
m	Ezek. 26:17;
V	21008003
c	b
i	c21008003.2
m	Ezek. 19:2; 2 Kin. 23:31,
V	21008004
c	c
i	c21008004.3
m	2 Kin. 23:33, 34; 2 Chr. 36:4
V	21008005
c	d
i	c21008005.4
m	2 Kin. 23:34
V	21008006
c	e
i	c21008006.5
m	2 Kin. 24:8,
V	21008006
c	f
i	c21008006.6
m	Ezek. 19:3
V	21008008
c	g
i	c21008008.7
m	2 Kin. 24:2,
V	21008008
c	h
i	c21008008.8
m	Ezek. 19:4
V	21008009
c	i
i	c21008009.9
m	2 Chr. 36:6; Jer. 22:18 j Ezek. 6:2
V	21008010
c	k
i	c21008010.10
m	Ezek. 17:6
V	21008011
c	m
i	c21008011.11
m	Ezek. 31:3; Dan. 4:11
V	21008012
c	n
i	c21008012.12
m	Jer. 31:27,
V	21008028
c	o
i	c21008028.13
m	Ezek. 17:10; Hos. 13:5
