C	Chapter 6
V	21006002
c	a
i	c21006002.1
m	Ezek. 20:49;
V	21006003
c	b
i	c21006003.2
m	Jer. 48:40; Ezek. 17:12; Hos. 8:1 c 2 Kin. 24:12
V	21006005
c	d
i	c21006005.3
m	Deut. 8:7-9
V	21006005
c	e
i	c21006005.4
m	Is. 44:4
V	21006006
c	f
i	c21006006.5
m	Ezek. 17:14
V	21006007
c	g
i	c21006007.6
m	Ezek. 17:15
V	21006010
c	i
i	c21006010.7
m	Ezek. 19:12; Hos. 13:15
V	21006012
c	j
i	c21006012.8
m	Ezek. 2:3-5; 12:9 k 2 Kin. 24:11- 16; Ezek. 1:2; 17:3
V	21006013
c	l
i	c21006013.9
m	2 Kin. 24:17; Jer. 37:1; Ezek. 17:5 m 2 Chr. 36:13
V	21006014
c	n
i	c21006014.10
m	Ezek. 29:14
V	21006015
c	o
i	c21006015.11
m	2 Kin. 24:20; 2 Chr. 36:13; Jer. 52:3; Ezek. 17:7
V	21006015
c	p
i	c21006015.12
m	Deut. 17:16; Is.
V	21006015
c	q
i	c21006015.13
m	Ezek. 17:9
V	21006016
c	r
i	c21006016.14
m	Jer. 52:11; Ezek. 12:13
V	21006017
c	s
i	c21006017.15
m	Jer. 37:7; Ezek. 29:6 t Jer. 52:4; Ezek. 4:2
V	21006018
c	u
i	c21006018.16
m	1 Chr. 29:24; Lam. 5:6 4 Took
V	21006020
c	v
i	c21006020.17
m	Ezek. 12:13
V	21006020
c	w
i	c21006020.18
m	Jer. 2:35; Ezek.
V	21006021
c	x
i	c21006021.19
m	Ezek. 12:14
V	21006021
c	y
i	c21006021.20
m	Ezek. 12:15;
V	21006022
c	z
i	c21006022.21
m	[Is. 11:1; Jer. 23:5; Zech. 3:8]
V	21006022
c	a
i	c21006022.22
m	Is. 53:2 b [Ps. 2:6]
V	21006023
c	c
i	c21006023.23
m	[Is. 2:2, 3]; Ezek. 20:40; [Mic. 4:1] d Ezek. 31:6; Dan. 4:12
