C	Chapter 9
V	11009001
c	a
i	c11009001.1
m	2 Chr. 10:1
V	11009001
c	b
i	c11009001.2
m	Judg. 9:6
V	11009002
c	c
i	c11009002.3
m	1 Kin. 11:26 d 1 Kin. 11:40
V	11009004
c	e
i	c11009004.4
m	1 Sam. 8:11-18; 1 Kin. 4:7; 5:13-15
V	11009007
c	f
i	c11009007.5
m	2 Chr. 10:7; [Prov. 15:1]
V	11009015
c	g
i	c11009015.6
m	Deut. 2:30; Judg. 14:4; 1 Kin. 12:24; 2 Chr. 10:15 h 1 Kin. 11:11,
V	11009016
c	i
i	c11009016.7
m	2 Sam. 20:1
V	11009017
c	j
i	c11009017.8
m	1 Kin. 11:13, 36; 2 Chr. 11:14-17 dren of Judah (Josh. 19:1).
V	11009018
c	k
i	c11009018.9
m	1 Kin. 4:6; 5:14
V	11009019
c	l
i	c11009019.10
m	2 Kin. 17:21
V	11009020
c	m
i	c11009020.11
m	2 Kin. 17:21 n 1 Kin. 11:13,
V	11009021
c	o
i	c11009021.12
m	2 Chr. 11:1-4 p
V	11009022
c	q
i	c11009022.13
m	2 Chr. 11:2;
V	11009024
c	r
i	c11009024.14
m	1 Kin. 12:15
V	11009025
c	s
i	c11009025.15
m	Gen. 12:6; Judg. 9:45-49; 1 Kin. 12:1
V	11009025
c	t
i	c11009025.16
m	Gen. 32:30, 31; Judg. 8:8,
V	11009027
c	u
i	c11009027.17
m	[Deut. 12:5-
V	11009028
c	v
i	c11009028.18
m	2 Kin. 10:29; 17:16; [Hos. 8:4-7]
V	11009028
c	w
i	c11009028.19
m	Ex. 32:4,
V	11009029
c	x
i	c11009029.20
m	Gen. 28:19
V	11009030
c	z
i	c11009030.21
m	1 Kin. 13:34; 2 Kin. 17:21
V	11009031
c	a
i	c11009031.22
m	[Num. 3:10; 17:1-11]; Judg. 17:5; 1 Kin. 13:33; 2 Kin. 17:32; 2 Chr. house; cf. 1 Kin.
V	11009032
c	b
i	c11009032.23
m	Lev. 23:33, 34; Num. 29:12; 1 Kin. 8:2, 5 c Amos 7:10-
V	11009033
c	d
i	c11009033.24
m	Num. 15:39 e 1 Kin. 13:1
