C	Chapter 9
V	21009001
c	a
i	c21009001.1
m	Ezek. 8:1, 11,
V	21009003
c	b
i	c21009003.2
m	Ezek. 7:26; 14:3
V	21009004
c	c
i	c21009004.3
m	Ezek. 16:2; 22:2; Matt. 23:32
V	21009005
c	d
i	c21009005.4
m	Ex. 6:6-8; Deut. 7:6 e Ex. 3:8; 4:31; Deut. 4:34 f Ex.
V	21009006
c	g
i	c21009006.5
m	Ex. 3:8, 17; Deut. 8:7-9; Jer. 32:22 h Ex. 3:8 i Ex. Ps. 48:2; Jer. 11:5; 32:22; Ezek. 20:15; Dan. 8:9; Zech.
V	21009007
c	j
i	c21009007.6
m	Ezek. 18:31 k 2 Chr. 15:8 l Lev. 18:3; Deut. 29:16; Josh. 24:14
V	21009009
c	n
i	c21009009.7
m	Num. 14:13
V	21009009
c	o
i	c21009009.8
m	Josh. 2:10; 9:9,
V	21009010
c	p
i	c21009010.9
m	Ex. 13:18
V	21009011
c	q
i	c21009011.10
m	Deut. 4:8; Neh. 9:13; Ps. 147:19 r Lev. 18:5; Ezek. 20:13; Rom. 10:5; [Gal.
V	21009012
c	s
i	c21009012.11
m	Ex. 20:8; Deut. 5:12; Neh. 9:14
V	21009013
c	t
i	c21009013.12
m	Num. 14:22; Ps. 78:40; Ezek. 20:8 u Prov. 1:25
V	21009013
c	v
i	c21009013.13
m	Lev. 18:5 w Ex. 16:27 x Num. 14:29; Ps. 106:23
V	21009014
c	y
i	c21009014.14
m	Ezek. 20:9,
V	21009015
c	z
i	c21009015.15
m	Num. 14:28; Ps. 95:11; 106:26
V	21009015
c	a
i	c21009015.16
m	Ex. 3:8 b Ezek. 20:6 78:37; Amos 5:25; Acts 7:42 16 c Ezek. 20:13, 24 d Num. 15:39; Ps.
V	21009016
c	l
i	c21009016.17
m	Ezek. 6:9
V	21009019
c	f
i	c21009019.18
m	Deut. 5:32
V	21009020
c	g
i	c21009020.19
m	Is. 58:13, 14; Jer. 17:22
V	21009021
c	h
i	c21009021.20
m	Num. 25:1; Deut. 9:23 i Lev.
V	21009023
c	j
i	c21009023.21
m	Lev. 26:33; Deut. 28:64; Ps. 106:27; Jer. 15:4
V	21009024
c	k
i	c21009024.22
m	Ezek. 20:13,
V	21009025
c	m
i	c21009025.23
m	Ps. 81:12; Rom. 1:24; 2 Thess. 2:11
V	21009026
c	n
i	c21009026.24
m	2 Kin. 17:17; 2 Chr. 28:3; Jer. 32:35; Ezek. 16:20
V	21009026
c	o
i	c21009026.25
m	Ezek. 6:7; 20:12,
V	21009027
c	p
i	c21009027.26
m	Num. 15:30; Is. 65:7; Rom. 2:24
V	21009028
c	q
i	c21009028.27
m	1 Kin. 14:23; Ps. 78:58; Is. 57:5- 7; Jer. 3:6; Ezek. 6:13 r Ezek. 16:19
V	21009030
c	s
i	c21009030.28
m	Judg. 2:19
V	21009030
c	t
i	c21009030.29
m	Jer. 7:26; 16:12
V	21009031
c	u
i	c21009031.30
m	Ps. 106:37-39; Jer. 7:31; Ezek.
V	21009031
c	v
i	c21009031.31
m	Ezek. 20:3
V	21009032
c	w
i	c21009032.32
m	Ezek. 11:5
V	21009033
c	x
i	c21009033.33
m	Jer. 21:5 gods (Num. 15:30, 31). (see Ex. 19:5, 6; Deut. 17:14; 26:16–19; 31:21;
V	21009035
c	y
i	c21009035.34
m	Jer. 2:9, 35; Ezek. 17:20
V	21009036
c	z
i	c21009036.35
m	Num. 14:21-
V	21009037
c	a
i	c21009037.36
m	Lev. 27:32; Jer. 33:13 b Ps. 89:30- 34; Ezek. 16:60,
V	21009038
c	c
i	c21009038.37
m	Ezek. 34:17; Amos 9:9, 10; Zech. 13:8, 9; [Mal. 3:3; 4:1-3; Matt. 25:32]
V	21009038
c	d
i	c21009038.38
m	Jer. 44:14
V	21009039
c	e
i	c21009039.39
m	Judg. 10:14; Ps. 81:12; Amos 4:4 f Is. 1:13-15; Ezek. 23:38
V	21009040
c	g
i	c21009040.40
m	Is. 2:2, 3; Ezek. 17:23; Mic. 4:1
V	21009040
c	h
i	c21009040.41
m	Ezek. 37:22 i Is. 56:7; 60:7; Ezek. 43:27; Zech. 8:20- 22; Mal. 3:4; [Rom.
V	21009041
c	j
i	c21009041.42
m	Eph. 5:2; Phil.
V	21009042
c	k
i	c21009042.43
m	Ezek. 36:23; 38:23 l Ezek. 11:17;
V	21009043
c	m
i	c21009043.44
m	Ezek. 16:61
V	21009043
c	n
i	c21009043.45
m	Lev. 26:39; Ezek. 6:9; Hos. 5:15
V	21009044
c	o
i	c21009044.46
m	Ezek. 24:24
V	21009044
c	p
i	c21009044.47
m	Ezek. 36:22
V	21009046
c	q
i	c21009046.48
m	Ezek. 21:2; Amos 7:16
V	21009047
c	r
i	c21009047.49
m	Is. 9:18, 19; Jer. 21:14 s Luke 23:31
V	21009047
c	t
i	c21009047.50
m	Ezek. 21:4
V	21009049
c	u
i	c21009049.51
m	Ezek. 12:9; 17:2; Matt. 13:13; John 16:25
