C	Chapter 11
V	28011001
c	a
i	c28011001.1
m	Gal. 2:12 b John 7:22; Acts 15:5; Gal. 5:2; Phil. 3:2; [Col. 2:8, 11, 16]
V	28011002
c	c
i	c28011002.2
m	Gal. 2:1
V	28011003
c	d
i	c28011003.3
m	Acts 20:38; 21:5; Rom. 15:24; 1 Cor. 16:6, 11; 2 Cor. 1:16; Titus 3:13; 3 John
V	28011003
c	e
i	c28011003.4
m	Acts 14:27;
V	28011007
c	f
i	c28011007.5
m	Acts 10:20
V	28011008
c	g
i	c28011008.6
m	1 Chr. 28:9; Acts 1:24 h Acts
V	28011009
c	i
i	c28011009.7
m	Rom. 10:12
V	28011009
c	j
i	c28011009.8
m	Acts 10:15,
V	28011010
c	k
i	c28011010.9
m	Matt. 23:4; Gal. 5:1
V	28011011
c	l
i	c28011011.10
m	Rom. 3:4; 5:15; 2 Cor. 13:14; [Eph. 2:5-8; Titus
V	28011012
c	m
i	c28011012.11
m	Acts 14:27;
V	28011013
c	n
i	c28011013.12
m	Acts 12:17
V	28011014
c	o
i	c28011014.13
m	Acts 15:7; 2 Pet. 1:1
V	28011016
c	p
i	c28011016.14
m	Amos 9:11,
V	28011019
c	r
i	c28011019.15
m	1 Thess. 1:9
V	28011020
c	s
i	c28011020.16
m	Acts 21:25
V	28011020
c	t
i	c28011020.17
m	Gen. 35:2; Ex. 20:3, 23; Ezek. 20:30; [1 Cor. 8:1; 10:20, 28]; Rev. 2:14 u [1 Cor. 6:9]; Gal. 5:19; Eph. 5:3; Col. 3:5; 1 Thess. 4:3; 1 Pet. 4:3
V	28011020
c	v
i	c28011020.18
m	Gen. 9:4; Lev. 3:17; Deut. 12:16;
V	28011020
c	c
i	c28011020.19
m	Lev. 17:14 d 1 Cor. 5:1; 6:18; 7:2; Col. 3:5; 1 Thess. 4:3
V	28011021
c	w
i	c28011021.20
m	Acts 13:15, 27; 2 Cor. 3:14
V	28011024
c	y
i	c28011024.21
m	Acts 15:1; Gal. 2:4; 5:12; Titus 1:10, 11 z Gal.
V	28011026
c	a
i	c28011026.22
m	Acts 13:50; 14:19; 1 Cor. 15:30; 2 Cor. 11:23-26
V	28011029
c	b
i	c28011029.23
m	Acts 15:20; 21:25; Rev. 2:14,
V	28011032
c	e
i	c28011032.24
m	Acts 11:27; 1 Cor. 12:28; Eph. 4:11; Rev. 18:20
V	28011032
c	f
i	c28011032.25
m	Acts 14:22; 18:23
V	28011033
c	g
i	c28011033.26
m	Mark 5:34; Acts 16:36; 1 Cor. 16:11; Heb. 11:31
V	28011035
c	h
i	c28011035.27
m	Acts 13:1
V	28011038
c	j
i	c28011038.28
m	Acts 13:13
V	28011039
c	k
i	c28011039.29
m	Acts 4:36; 13:4
V	28011041
c	m
i	c28011041.30
m	Acts 16:5
