C	Chapter 7
V	40007002
c	a
i	c40007002.1
m	Acts 9:15
V	40007003
c	b
i	c40007003.2
m	Acts 22:17, 21; 26:16 c [Rom. 11:25; 16:25; Eph. 3:4, 9; 6:19]; Col.
V	40007006
c	d
i	c40007006.3
m	Gal. 3:28,
V	40007007
c	e
i	c40007007.4
m	Rom. 15:16
V	40007007
c	f
i	c40007007.5
m	Rom. 1:5 g Rom.
V	40007009
c	j
i	c40007009.6
m	John 1:3; Col. 1:16; Heb.
V	40007010
c	k
i	c40007010.7
m	1 Pet. 1:12 l [1 Tim. 3:16]
V	40007010
c	m
i	c40007010.8
m	Eph. 1:21; 6:12; Col. 1:16; 2:10,
V	40007011
c	n
i	c40007011.9
m	[Eph. 1:4, 11]
V	40007012
c	o
i	c40007012.10
m	2 Cor. 3:4; Heb. 4:16; 10:19, 35; [1 John 2:28;
V	40007013
c	p
i	c40007013.11
m	Phil. 1:14 q 2 Cor. 1:6
V	40007014
c	r
i	c40007014.12
m	Eph. 1:3 6 NU
V	40007016
c	s
i	c40007016.13
m	[Eph. 1:7; 2:4; Phil. 4:19] t 1 Cor. 16:13; Phil. 4:13; Col. 1:11 u Rom.
V	40007017
c	v
i	c40007017.14
m	John 14:23; Rom. 8:9; 2 Cor. 13:5; [Eph. 2:22]
V	40007017
c	w
i	c40007017.15
m	Col. 1:23
V	40007018
c	x
i	c40007018.16
m	Eph. 1:18
V	40007018
c	y
i	c40007018.17
m	Rom. 8:39
V	40007019
c	z
i	c40007019.18
m	Eph. 1:23
V	40007020
c	a
i	c40007020.19
m	Rom. 16:25 b 1 Cor. 2:9 c Col.
V	40007021
c	d
i	c40007021.20
m	Rom. 11:36
