C	Chapter 1
V	40001002
c	a
i	c40001002.1
m	Rom. 10:16,
V	40001003
c	b
i	c40001003.2
m	[Gal. 4:9]
V	40001003
c	c
i	c40001003.3
m	Heb. 7:16
V	40001004
c	d
i	c40001004.4
m	Heb. 10:35
V	40001006
c	e
i	c40001006.5
m	Gen. 15:6
V	40001007
c	f
i	c40001007.6
m	John 8:39
V	40001008
c	g
i	c40001008.7
m	Rom. 9:17
V	40001010
c	i
i	c40001010.8
m	Deut. 27:26
V	40001011
c	j
i	c40001011.9
m	Hab. 2:4; Rom. 1:17; Heb.
V	40001012
c	k
i	c40001012.10
m	Rom. 4:4,
V	40001012
c	l
i	c40001012.11
m	Lev. 18:5; Rom.
V	40001013
c	m
i	c40001013.12
m	[Rom. 8:3]
V	40001013
c	n
i	c40001013.13
m	Deut. 21:23
V	40001014
c	o
i	c40001014.14
m	[Rom. 4:1-5, 9, 16 #; Gal. 3:28]
V	40001014
c	p
i	c40001014.15
m	Is. 42:1, 6; 49:6; Luke 2:32; Rom. 3:29, 30 q Is. 32:15
V	40001015
c	r
i	c40001015.16
m	Heb. 9:17
V	40001016
c	s
i	c40001016.17
m	Gen. 22:18
V	40001016
c	t
i	c40001016.18
m	Gen. 12:3, 7 #; u [1 Cor. 12:12]
V	40001017
c	v
i	c40001017.19
m	Gen. 15:13; Ex. 12:40; Acts 7:6 w [Rom. 4:13] 5 NU
V	40001018
c	x
i	c40001018.20
m	[Rom. 8:17]
V	40001018
c	y
i	c40001018.21
m	Rom. 4:14
V	40001019
c	z
i	c40001019.22
m	John 15:22
V	40001019
c	a
i	c40001019.23
m	Gal. 4:4 b Acts 7:53 c Ex. 20:19; Deut. 5:5
V	40001020
c	d
i	c40001020.24
m	[Rom. 3:29]
V	40001022
c	e
i	c40001022.25
m	Rom. 11:32
V	40001024
c	g
i	c40001024.26
m	Rom. 10:4
V	40001024
c	h
i	c40001024.27
m	Acts 13:39 7 In
V	40001026
c	i
i	c40001026.28
m	John 1:12
V	40001027
c	j
i	c40001027.29
m	Matt. 28:19; [Rom. 6:3]; 1 Cor. 10:2 k Rom. 10:12;
V	40001028
c	l
i	c40001028.30
m	[John 10:16]; Rom. 3:22; 10:12; [Eph. 2:14]; Col. 3:11 m [1 Cor. 12:13] n John 17:11; [1 Cor. 12:13; Eph. 2:15,
V	40001029
c	o
i	c40001029.31
m	Gen. 21:10; Heb. 11:18 #
V	40001029
c	p
i	c40001029.32
m	Rom. 4:11; Gal. 3:7 q Gen. 12:3; 18:18; Rom. 8:17
