C	Chapter 2
V	59002001
c	a
i	c59002001.1
m	John 3:32
V	59002002
c	c
i	c59002002.2
m	1 Cor. 1:6
V	59002003
c	e
i	c59002003.3
m	Luke 11:28;
V	59002004
c	g
i	c59002004.4
m	Ex. 3:14 h John
V	59002005
c	j
i	c59002005.5
m	John 8:14;
V	59002006
c	p
i	c59002006.6
m	1 Pet. 2:5,
V	59002007
c	r
i	c59002007.7
m	Matt. 24:30
V	59002008
c	t
i	c59002008.8
m	Is. 41:4; Rev.
V	59002009
c	w
i	c59002009.9
m	Phil. 1:7
V	59002010
c	y
i	c59002010.10
m	Acts 10:10
V	59002012
c	b
i	c59002012.11
m	Ex. 25:37;
V	59002012
c	p
i	c59002012.12
m	Is. 41:4; 44:6; 48:12; Rev. 2:8; 22:13 9 NU, M omit to me
V	59002013
c	c
i	c59002013.13
m	Rev. 2:1
V	59002014
c	g
i	c59002014.14
m	Dan. 7:9
V	59002015
c	i
i	c59002015.15
m	Ezek. 1:7; Dan.
V	59002016
c	k
i	c59002016.16
m	Rev. 1:20; 2:1;
V	59002017
c	n
i	c59002017.17
m	Ezek. 1:28
