C	Chapter 47
V	01047001
c	a
i	c01047001.1
m	Gen. 46:31
V	01047001
c	b
i	c01047001.2
m	Gen. 45:10;
V	01047002
c	c
i	c01047002.3
m	Acts 7:13
V	01047003
c	d
i	c01047003.4
m	Gen. 46:33; Jon.
V	01047004
c	f
i	c01047004.5
m	Gen. 15:13; Deut. 26:5; Ps. 105:23 g Gen. 43:1; Acts 7:11 h Gen.
V	01047006
c	i
i	c01047006.6
m	Gen. 20:15;
V	01047006
c	j
i	c01047006.7
m	Gen. 47:4
V	01047007
c	k
i	c01047007.8
m	Gen. 47:10;
V	01047009
c	l
i	c01047009.9
m	Ps. 39:12; [Heb. 11:9, 13] n [Job 14:1] o Gen.
V	01047010
c	p
i	c01047010.10
m	Gen. 47:7
V	01047011
c	q
i	c01047011.11
m	Ex. 1:11; 12:37
V	01047011
c	r
i	c01047011.12
m	Gen. 47:6,
V	01047012
c	s
i	c01047012.13
m	Gen. 45:11;
V	01047013
c	t
i	c01047013.14
m	Gen. 41:30; Acts 7:11
V	01047014
c	u
i	c01047014.15
m	Gen. 41:56;
V	01047015
c	v
i	c01047015.16
m	Gen. 47:19
V	01047019
c	w
i	c01047019.17
m	Gen. 43:8
V	01047020
c	x
i	c01047020.18
m	Jer. 32:43 Tg.; Sam., LXX, Vg.
V	01047022
c	y
i	c01047022.19
m	Lev. 25:34; Ezra 7:24 z Gen.
V	01047025
c	a
i	c01047025.20
m	Gen. 33:15
V	01047026
c	b
i	c01047026.21
m	Gen. 47:22
V	01047027
c	c
i	c01047027.22
m	Gen. 47:11
V	01047027
c	d
i	c01047027.23
m	Gen. 17:6; 26:4; 35:11; 46:3; Ex. 1:7; Deut. 26:5; Acts 7:17
V	01047029
c	e
i	c01047029.24
m	Deut. 31:14; 1 Kin. 2:1 f Gen. 24:2-4 g Gen. 24:49; Josh. 2:14
V	01047029
c	h
i	c01047029.25
m	Gen. 50:25
V	01047030
c	i
i	c01047030.26
m	2 Sam. 19:37
V	01047030
c	j
i	c01047030.27
m	Gen. 49:29; 50:5- 13; Heb. 11:21
V	01047031
c	k
i	c01047031.28
m	Gen. 48:2; 1 Kin. 1:47; Heb.
