C	Chapter 9
V	38009001
c	a
i	c38009001.1
m	1 Cor. 3:9 b 2 Cor. 5:20
V	38009002
c	c
i	c38009002.2
m	Is. 49:8 #
V	38009003
c	d
i	c38009003.3
m	Rom. 14:13
V	38009004
c	e
i	c38009004.4
m	1 Cor. 4:1
V	38009005
c	f
i	c38009005.5
m	2 Cor. 11:23
V	38009007
c	g
i	c38009007.6
m	2 Cor. 7:14 h 1 Cor. 2:4
V	38009007
c	i
i	c38009007.7
m	Rom. 13:12; 2 Cor. 10:4
V	38009009
c	j
i	c38009009.8
m	2 Cor. 4:2; 5:11 k 1 Cor. 4:9, 11 l Ps.
V	38009010
c	m
i	c38009010.9
m	1 Cor. 1:5; [2 Cor. 8:9]
V	38009011
c	n
i	c38009011.10
m	Is. 60:5; 2 Cor.
V	38009012
c	o
i	c38009012.11
m	2 Cor. 12:15
V	38009013
c	p
i	c38009013.12
m	1 Cor. 4:14
V	38009014
c	q
i	c38009014.13
m	Deut. 7:2, 3; 22:10; 1 Cor. 5:9 r
V	38009016
c	t
i	c38009016.14
m	Ex. 29:45; Lev. 26:12; Jer. 31:33; 32:38; Ezek. 37:26, 27; Zech. 8:8 17 u Num. 33:51-56; Is. 52:11; Rev. 18:4
V	38009018
c	v
i	c38009018.15
m	2 Sam. 7:14; Jer. 31:1, 9; [Rev. 21:7] w [John 1:12; Rom. 8:14; Gal. 4:5-7]; Phil. 2:15; 1 John 3:1
