C	Chapter 3
V	34003001
c	a
i	c34003001.1
m	1 Cor. 2:6; Eph. 4:14; Heb. 5:13
V	34003002
c	b
i	c34003002.2
m	Heb. 5:12; 1 Pet. 2:2 c John
V	34003005
c	d
i	c34003005.3
m	Rom. 15:16; 2 Cor. 3:3, 6; 4:1; 5:18; 6:4; Eph. 3:7; Col. 1:25; 1 Tim.
V	34003006
c	e
i	c34003006.4
m	Acts 18:4; 1 Cor. 4:15; 9:1; 15:1; 2 Cor. 10:14
V	34003006
c	f
i	c34003006.5
m	Acts 18:24- 27; 1 Cor. 1:12 g [2 Cor. 3:5]
V	34003007
c	h
i	c34003007.6
m	2 Cor. 12:11; [Gal. 6:3]
V	34003008
c	i
i	c34003008.7
m	Ps. 62:12; Rom. 2:6
V	34003009
c	j
i	c34003009.8
m	Mark 16:20; Acts 15:4; 2 Cor. 6:1 k [1 Cor. 3:16; Eph. 2:20-22]; Col. 2:7; Heb. 3:3, 4; [1 Pet. 2:5]
V	34003010
c	l
i	c34003010.9
m	Rom. 1:5 m 1 Cor. 4:15
V	34003011
c	n
i	c34003011.10
m	Is. 28:16; Matt. 16:18; 2 Cor. 11:4 o Eph. 2:20; 1 Pet. 2:4
V	34003013
c	p
i	c34003013.11
m	1 Pet. 1:7
V	34003013
c	q
i	c34003013.12
m	Mal. 3:1-3; Luke
V	34003016
c	r
i	c34003016.13
m	Rom. 8:9; 1 Cor. 6:19; 2 Cor. 6:16; Eph. 2:21
V	34003020
c	u
i	c34003020.14
m	Ps. 94:11
V	34003021
c	v
i	c34003021.15
m	[2 Cor. 4:5]
V	34003023
c	w
i	c34003023.16
m	[Rom. 14:8]; 1 Cor. 15:23; 2 Cor. 10:7; [Gal. 3:29]
