C	Chapter 21
V	07021001
c	a
i	c07021001.1
m	1 Cor. 7:36; 1 Tim. 5:8 b Ruth
V	07021002
c	c
i	c07021002.2
m	Ruth 2:3,
V	07021003
c	d
i	c07021003.3
m	2 Sam. 14:2
V	07021007
c	e
i	c07021007.4
m	Judg. 19:6, 9, 22;
V	07021009
c	f
i	c07021009.5
m	Ezek. 16:8
V	07021009
c	g
i	c07021009.6
m	Ruth 2:20; 3:12
V	07021010
c	i
i	c07021010.7
m	Ruth 1:8
V	07021011
c	j
i	c07021011.8
m	Prov. 12:4;
V	07021012
c	k
i	c07021012.9
m	Ruth 3:9
V	07021012
c	l
i	c07021012.10
m	Ruth 4:1
V	07021013
c	m
i	c07021013.11
m	Deut. 25:5-10; Ruth 4:5, 10; Matt. 22:24 n Judg. 8:19; Jer. 4:2; 12:16
V	07021014
c	o
i	c07021014.12
m	[Rom. 12:17; 14:16; 1 Cor. 10:32; 2 Cor. 8:21; 1 Thess. 5:22]
V	07021018
c	p
i	c07021018.13
m	[Ps. 37:3, 5]
