C	Chapter 28
V	20028002
c	a
i	c20028002.1
m	Ezek. 7:3, 5, 6; 11:13; Amos 8:2, 10; [Matt. 24:6,
V	20028003
c	b
i	c20028003.2
m	[Rom. 2:6]
V	20028004
c	c
i	c20028004.3
m	Ezek. 5:11
V	20028004
c	d
i	c20028004.4
m	Ezek. 12:20
V	20028005
c	e
i	c20028005.5
m	2 Kin. 21:12, 13; Nah. 1:9
V	20028007
c	f
i	c20028007.6
m	Ezek. 7:10
V	20028007
c	g
i	c20028007.7
m	Zeph. 1:14,
V	20028008
c	h
i	c20028008.8
m	Ezek. 20:8,
V	20028010
c	i
i	c20028010.9
m	Ezek. 7:7
V	20028011
c	j
i	c20028011.10
m	Jer. 6:7 k Jer. 16:5, 6; Ezek.
V	20028015
c	n
i	c20028015.11
m	Deut. 32:25; Jer. 14:18; Lam. 1:20; Ezek. 5:12
V	20028016
c	o
i	c20028016.12
m	Ezra 9:15; Is. 37:31; Ezek. 6:8;
V	20028017
c	p
i	c20028017.13
m	Is. 13:7; Jer. 6:24; Ezek. 21:7; Heb. 12:12
V	20028018
c	q
i	c20028018.14
m	Is. 3:24; 15:2, 3; Jer. 48:37; Ezek. 27:31; Amos 8:10
V	20028019
c	r
i	c20028019.15
m	Prov. 11:4; Jer. 15:13; Zeph. 1:18
V	20028020
c	s
i	c20028020.16
m	Jer. 7:30
V	20028021
c	t
i	c20028021.17
m	2 Kin. 24:13; Jer. 20:5
V	20028023
c	u
i	c20028023.18
m	2 Kin. 21:16
V	20028024
c	v
i	c20028024.19
m	Ezek. 21:31; 28:7 w 2 Chr. 7:20; Ezek. 24:21
V	20028026
c	x
i	c20028026.20
m	Deut. 32:23; Is. 47:11; Jer. 4:20
V	20028026
c	y
i	c20028026.21
m	Ps. 74:9; Lam. 2:9; Ezek. 20:1, 3; Mic. 3:6 cloth and shaving their heads (see Is. 15:2, 3); (2) weakness; (Rom. 1:25).
