C	Chapter 22
V	06022001
c	a
i	c06022001.1
m	Josh. 24:29
V	06022001
c	b
i	c06022001.2
m	Num. 27:21; Judg. 20:18 c Josh.
V	06022002
c	d
i	c06022002.3
m	Gen. 49:8, 9; Rev. 5:5
V	06022003
c	e
i	c06022003.4
m	Josh. 19:1
V	06022003
c	f
i	c06022003.5
m	Judg. 1:17
V	06022004
c	g
i	c06022004.6
m	1 Sam. 11:8
V	06022007
c	h
i	c06022007.7
m	Lev. 24:19;
V	06022008
c	i
i	c06022008.8
m	Josh. 15:63; Judg. 1:21
V	06022009
c	j
i	c06022009.9
m	Josh. 10:36; 11:21; 15:13
V	06022010
c	k
i	c06022010.10
m	Josh. 15:13-
V	06022011
c	m
i	c06022011.11
m	Josh. 15:15
V	06022012
c	n
i	c06022012.12
m	Josh. 15:16,
V	06022013
c	o
i	c06022013.13
m	Judg. 3:9
V	06022015
c	q
i	c06022015.14
m	Gen. 33:11
V	06022016
c	r
i	c06022016.15
m	Num. 10:29- 32; Judg. 4:11, 17;
V	06022017
c	v
i	c06022017.16
m	Judg. 1:3
V	06022017
c	w
i	c06022017.17
m	Num. 21:3; Josh.
V	06022018
c	x
i	c06022018.18
m	Josh. 11:22
V	06022019
c	l
i	c06022019.19
m	Josh. 14:15
V	06022019
c	y
i	c06022019.20
m	Josh. 17:16, 18; Judg. 4:3,
V	06022020
c	z
i	c06022020.21
m	Num. 14:24; Josh. 14:9,
V	06022020
c	a
i	c06022020.22
m	Josh. 15:14; Judg.
V	06022021
c	b
i	c06022021.23
m	Josh. 15:63; Judg. 1:8
V	06022022
c	c
i	c06022022.24
m	Judg. 1:19
V	06022023
c	d
i	c06022023.25
m	Josh. 2:1; 7:2
V	06022023
c	e
i	c06022023.26
m	Gen. 28:19
V	06022024
c	f
i	c06022024.27
m	Josh. 2:12,
V	06022027
c	g
i	c06022027.28
m	Josh. 17:11-
V	06022027
c	i
i	c06022027.29
m	Josh. 17:11
V	06022029
c	j
i	c06022029.30
m	Josh. 16:10; 1 Kin. 9:16
V	06022030
c	k
i	c06022030.31
m	Josh. 19:10-16
V	06022031
c	l
i	c06022031.32
m	Josh. 19:24-31
V	06022032
c	m
i	c06022032.33
m	Ps. 106:34,
V	06022033
c	n
i	c06022033.34
m	Josh. 19:32-39
V	06022035
c	o
i	c06022035.35
m	Josh. 19:42 Josh. 19:42
V	06022036
c	p
i	c06022036.36
m	Num. 34:4; Josh. 15:3
