C	Chapter 8
V	06008001
c	a
i	c06008001.1
m	Josh. 10:3
V	06008001
c	b
i	c06008001.2
m	Josh. 19:15
V	06008002
c	c
i	c06008002.3
m	Num. 34:11
V	06008002
c	d
i	c06008002.4
m	Josh. 17:11; Judg. 1:27; 1 Kin. 4:11
V	06008003
c	e
i	c06008003.5
m	Josh. 9:1
V	06008003
c	f
i	c06008003.6
m	Deut. 7:1; Judg. 3:3, 5; 1 Kin. 9:20
V	06008003
c	g
i	c06008003.7
m	Josh. 11:17; 13:5,
V	06008004
c	i
i	c06008004.8
m	Gen. 22:17; 32:12; Judg. 7:12;
V	06008006
c	j
i	c06008006.9
m	Josh. 10:8 k
V	06008008
c	l
i	c06008008.10
m	Gen. 49:13
V	06008008
c	m
i	c06008008.11
m	Josh. 13:6
V	06008011
c	h
i	c06008011.12
m	Gen. 31:49
V	06008011
c	n
i	c06008011.13
m	Deut. 20:16
V	06008011
c	o
i	c06008011.14
m	Josh. 10:40
V	06008012
c	p
i	c06008012.15
m	Num. 33:50- 56; Deut. 7:2;
V	06008015
c	r
i	c06008015.16
m	Ex. 34:10-17
V	06008015
c	s
i	c06008015.17
m	Deut. 31:7,
V	06008016
c	u
i	c06008016.18
m	Josh. 12:8
V	06008017
c	w
i	c06008017.19
m	Josh. 12:7
V	06008019
c	y
i	c06008019.20
m	Josh. 9:3-7
V	06008020
c	z
i	c06008020.21
m	Deut. 2:30
V	06008020
c	a
i	c06008020.22
m	Deut. 20:16,
V	06008021
c	b
i	c06008021.23
m	Num. 13:22, 33; Deut. 1:28; 9:2; Josh. 15:13,
V	06008022
c	c
i	c06008022.24
m	1 Sam. 17:4
V	06008022
c	d
i	c06008022.25
m	Josh. 15:46;
V	06008023
c	e
i	c06008023.26
m	Ex. 33:2; Num. 34:2-15 f Num. 26:53; Josh. 14;
V	06008023
c	g
i	c06008023.27
m	Deut. 12:9, 10; 25:19; [Heb. 4:8]
