C	Chapter 13
V	02013003
c	b
i	c02013003.1
m	Ex. 12:42; Deut. 16:3 c Ex. 3:20; 6:1 d Ex. 12:8,
V	02013004
c	e
i	c02013004.2
m	Ex. 12:2; 23:15; 34:18; Deut. 16:1
V	02013005
c	f
i	c02013005.3
m	Ex. 3:8, 17; Josh. 24:11 g Gen. 17:8; Deut. 30:5 h Ex. 6:8 i Ex. 12:25,
V	02013006
c	j
i	c02013006.4
m	Ex. 12:15-20
V	02013007
c	k
i	c02013007.5
m	Ex. 12:19
V	02013008
c	l
i	c02013008.6
m	Ex. 10:2; 12:26; 13:14; Ps. 44:1
V	02013009
c	m
i	c02013009.7
m	Ex. 12:14; 13:16; 31:13; Deut. 6:8; 11:18; Matt.
V	02013010
c	n
i	c02013010.8
m	Ex. 12:14,
V	02013011
c	o
i	c02013011.9
m	Ex. 13:5
V	02013011
c	p
i	c02013011.10
m	Num. 21:3
V	02013012
c	q
i	c02013012.11
m	Ex. 13:1, 2; 22:29; 34:19; Lev. 27:26; Num. 18:15; Ezek. 44:30; Luke
V	02013013
c	r
i	c02013013.12
m	Ex. 34:20; Num. 18:15
V	02013013
c	s
i	c02013013.13
m	Num. 3:46, 47;
V	02013014
c	t
i	c02013014.14
m	Ex. 10:2; 12:26, 27; 13:8; Deut. 6:20; Josh. 4:6,
V	02013014
c	u
i	c02013014.15
m	Ex. 13:3,
V	02013015
c	v
i	c02013015.16
m	Ex. 12:29
V	02013016
c	w
i	c02013016.17
m	Ex. 13:9; Deut. 6:8
V	02013017
c	x
i	c02013017.18
m	Ex. 14:11; Num. 14:1-4
V	02013017
c	y
i	c02013017.19
m	Deut. 17:16
V	02013018
c	z
i	c02013018.20
m	Ex. 14:2; Num.
V	02013019
c	a
i	c02013019.21
m	Gen. 50:24, 25; Josh. 24:32 b Ex. 1:6; Deut. 33:13-17
V	02013020
c	d
i	c02013020.22
m	Num. 33:6-8
V	02013020
c	e
i	c02013020.23
m	Ex. 12:37
V	02013021
c	f
i	c02013021.24
m	Ex. 14:19, 24; 33:9, 10; Num. 9:15; 14:14; Deut. 1:33; Neh. 9:12; Ps. [Is. 4:5]; 1 Cor. 10:1
