C	Chapter 3
V	18003004
c	a
i	c18003004.1
m	Job 16:13; Ps. 38:2 b Ps. 88:15,
V	18003005
c	d
i	c18003005.2
m	Job 39:5-8
V	18003009
c	e
i	c18003009.3
m	Num. 11:15; 1 Kin. 19:4; Job
V	18003014
c	h
i	c18003014.4
m	[Prov. 17:17]
V	18003015
c	i
i	c18003015.5
m	Ps. 38:11 j Jer.
V	18003016
c	c
i	c18003016.6
m	Job 30:15
V	18003019
c	k
i	c18003019.7
m	Gen. 25:15; Is. 21:14; Jer. 25:23 l 1 Kin. 10:1; Ps. 72:10; Ezek.
V	18003021
c	n
i	c18003021.8
m	Job 13:4 o Ps.
V	18003027
c	p
i	c18003027.9
m	Ps. 57:6
V	18003029
c	q
i	c18003029.10
m	Job 17:10
V	18003029
c	r
i	c18003029.11
m	Job 27:5, 6; 34:5
