C	Chapter 2
V	07002001
c	a
i	c07002001.1
m	Ex. 15:1; Judg.
V	07002002
c	b
i	c07002002.2
m	Ps. 18:47 c 2 Chr. 17:16
V	07002003
c	d
i	c07002003.3
m	Deut. 32:1,
V	07002004
c	f
i	c07002004.4
m	Deut. 33:2; Ps. 68:7 g Ps. 68:8
V	07002005
c	h
i	c07002005.5
m	Ps. 97:5 i Ex.
V	07002006
c	j
i	c07002006.6
m	Judg. 3:31
V	07002006
c	k
i	c07002006.7
m	Judg. 4:17 l Is.
V	07002008
c	m
i	c07002008.8
m	Deut. 32:17
V	07002010
c	n
i	c07002010.9
m	Judg. 10:4;
V	07002012
c	o
i	c07002012.10
m	Ps. 57:8
V	07002014
c	p
i	c07002014.11
m	Judg. 3:13
V	07002017
c	q
i	c07002017.12
m	Josh. 22:9
V	07002017
c	r
i	c07002017.13
m	Josh. 19:29,
V	07002018
c	s
i	c07002018.14
m	Judg. 4:6,
V	07002019
c	t
i	c07002019.15
m	Judg. 1:27 (Num. 10:12; 20:22). and
V	07002021
c	u
i	c07002021.16
m	Judg. 4:7
V	07002024
c	v
i	c07002024.17
m	[Luke 1:28]
V	07002027
c	w
i	c07002027.18
m	Judg. 4:18-21
V	07002031
c	x
i	c07002031.19
m	Ps. 92:9 y
V	07002031
c	a
i	c07002031.20
m	Ps. 19:5
