C	Chapter 11
V	07011001
c	a
i	c07011001.1
m	Gen. 38:13; Josh. 15:10,
V	07011001
c	b
i	c07011001.2
m	Gen. 34:2
V	07011002
c	c
i	c07011002.3
m	Gen. 21:21
V	07011003
c	d
i	c07011003.4
m	Gen. 24:3,
V	07011003
c	e
i	c07011003.5
m	Gen. 34:14; Ex. 34:16; Deut. 7:3
V	07011004
c	f
i	c07011004.6
m	Josh. 11:20; 1 Kin. 12:15; 2 Kin. 6:33; 2 Chr. 10:15
V	07011004
c	g
i	c07011004.7
m	Deut. 28:48; Judg. 13:1
V	07011006
c	h
i	c07011006.8
m	Judg. 3:10
V	07011009
c	i
i	c07011009.9
m	Lev. 11:27
V	07011012
c	l
i	c07011012.10
m	Gen. 45:22; 2 Kin. 5:22
V	07011013
c	m
i	c07011013.11
m	Ezek. 17:2
V	07011015
c	n
i	c07011015.12
m	Judg. 16:5
V	07011015
c	o
i	c07011015.13
m	Judg. 15:6 2 So
V	07011016
c	p
i	c07011016.14
m	Judg. 16:15
V	07011019
c	q
i	c07011019.15
m	Judg. 3:10;
V	07011020
c	r
i	c07011020.16
m	Judg. 15:2
V	07011020
c	s
i	c07011020.17
m	John 3:29
