C	Chapter 11
V	16011001
c	a
i	c16011001.1
m	Ezra 4:6; Dan. 9:1 b Esth. 8:9 c Dan. 6:1
V	16011002
c	d
i	c16011002.2
m	1 Kin. 1:46
V	16011002
c	e
i	c16011002.3
m	Neh. 1:1; Dan.
V	16011003
c	f
i	c16011003.4
m	Gen. 40:20; Esth. 2:18
V	16011010
c	i
i	c16011010.5
m	Esth. 7:9
V	16011013
c	j
i	c16011013.6
m	Jer. 10:7; Dan. 2:12; Matt. 2:1 k 1 Chr. 12:32
V	16011014
c	l
i	c16011014.7
m	Ezra 7:14 m 2 Kin. 25:19; [Matt. 18:10]
V	16011017
c	n
i	c16011017.8
m	[Eph. 5:33] scorn (see Is. 44:24, 25). 1:14 The seven counselors of Ezra 7:14 were probably the
V	16011019
c	o
i	c16011019.9
m	Esth. 8:8; Dan. 6:8 9 pass
V	16011020
c	p
i	c16011020.10
m	[Eph. 5:33; Col. 3:18; 1 Pet.
V	16011022
c	q
i	c16011022.11
m	Esth. 3:12; 8:9 r [Eph. 5:22-24; 1 Tim. 2:12]
