C	Chapter 22
V	03022002
c	a
i	c03022002.1
m	Num. 6:3 b Lev. 18:21 c Ex. 28:38; Lev. 16:19; 25:10; Num. 18:32; Deut.
V	03022003
c	d
i	c03022003.2
m	Lev. 7:20, 21; Num. 19:13
V	03022004
c	e
i	c03022004.3
m	Num. 5:2
V	03022004
c	f
i	c03022004.4
m	Lev. 15:2 g Lev. 14:2; 15:13 h Lev. Num. 19:11 i Lev.
V	03022005
c	j
i	c03022005.5
m	Lev. 11:23-28
V	03022005
c	k
i	c03022005.6
m	Lev. 15:7,
V	03022006
c	l
i	c03022006.7
m	Lev. 15:5
V	03022007
c	m
i	c03022007.8
m	Lev. 21:22; Num. 18:11,
V	03022008
c	n
i	c03022008.9
m	Ex. 22:31; Lev. 17:15; Ezek. 44:31
V	03022009
c	o
i	c03022009.10
m	Lev. 18:30
V	03022009
c	p
i	c03022009.11
m	Ex. 28:43; Lev. 22:16; Num. 18:22
V	03022010
c	q
i	c03022010.12
m	Ex. 29:33; Lev. 22:13; Num. 3:10
V	03022011
c	r
i	c03022011.13
m	Ex. 12:44
V	03022015
c	s
i	c03022015.14
m	Num. 18:32
V	03022016
c	c
i	c03022016.15
m	Lev. 21:6,
V	03022016
c	d
i	c03022016.16
m	Mal. 1:14
V	03022018
c	t
i	c03022018.17
m	Lev. 1:2, 3,
V	03022019
c	u
i	c03022019.18
m	Lev. 1:3; Deut.
V	03022020
c	v
i	c03022020.19
m	Deut. 15:21; 17:1; Mal. 1:8, 14; [Eph. 5:27; Heb. 9:14; 1 Pet. 1:19]
V	03022021
c	w
i	c03022021.20
m	Lev. 3:1,
V	03022021
c	x
i	c03022021.21
m	Num. 15:3, 8; Ps. 61:8; 65:1; Eccl.
V	03022022
c	y
i	c03022022.22
m	Lev. 22:20; Mal. 1:8 z Lev.
V	03022023
c	a
i	c03022023.23
m	Lev. 21:18
V	03022025
c	b
i	c03022025.24
m	Num. 15:15,
V	03022027
c	e
i	c03022027.25
m	Ex. 22:30
V	03022028
c	f
i	c03022028.26
m	Deut. 22:6,
V	03022029
c	g
i	c03022029.27
m	Lev. 7:12; Ps. Amos 4:5
V	03022030
c	h
i	c03022030.28
m	Lev. 7:15
V	03022031
c	i
i	c03022031.29
m	Lev. 19:37; Num. 15:40; Deut.
V	03022032
c	j
i	c03022032.30
m	Lev. 18:21
V	03022032
c	k
i	c03022032.31
m	Lev. 10:3; Matt. 6:9; Luke 11:2 altar (Mal. 1:7–14). We are not to offer God less than our best.
V	03022032
c	l
i	c03022032.32
m	Lev. 20:8
V	03022033
c	m
i	c03022033.33
m	Lev. 19:36, 37; Num. 15:40; Deut. 4:40
