C	Chapter 6
V	03006002
c	a
i	c03006002.1
m	Num. 5:6
V	03006002
c	b
i	c03006002.2
m	Lev. 19:11; Acts 5:4; Col. 3:9 c Ex. 22:7, 10 d Prov.
V	03006003
c	e
i	c03006003.3
m	Ex. 23:4; Deut. 22:1-4 f Ex. 22:11; Lev. 19:12; Jer. 7:9; Zech. 5:4
V	03006004
c	g
i	c03006004.4
m	Lev. 24:18,
V	03006005
c	h
i	c03006005.5
m	Lev. 5:16; Num. 5:7, 8;
V	03006006
c	i
i	c03006006.6
m	Lev. 1:3; 5:15
V	03006007
c	j
i	c03006007.7
m	Lev. 4:26
V	03006009
c	k
i	c03006009.8
m	Ex. 29:38-42; Num. 28:3-10
V	03006010
c	m
i	c03006010.9
m	Lev. 1:16
V	03006011
c	n
i	c03006011.10
m	Ezek. 44:19
V	03006011
c	o
i	c03006011.11
m	Lev. 4:12
V	03006012
c	p
i	c03006012.12
m	Lev. 3:3, 5,
V	03006013
c	q
i	c03006013.13
m	Lev. 1:7
V	03006017
c	r
i	c03006017.14
m	Lev. 7:7
V	03006018
c	s
i	c03006018.15
m	Lev. 6:29; 7:6; Num. 18:10; 1 Cor. 9:13 t Lev. 3:17
V	03006018
c	u
i	c03006018.16
m	Ex. 29:37; Lev. 22:3-7; Num. 4:15; Hag. 2:11-13
V	03006020
c	v
i	c03006020.17
m	Ex. 29:2 w Ex.
V	03006021
c	x
i	c03006021.18
m	Lev. 2:5; 7:9
V	03006022
c	y
i	c03006022.19
m	Lev. 4:3
V	03006022
c	z
i	c03006022.20
m	Ex. 29:25
V	03006025
c	a
i	c03006025.21
m	Lev. 1:1, 3,
V	03006026
c	b
i	c03006026.22
m	[Lev. 10:17, 18]; Num. 18:9, 10; [Ezek. 44:28, 29]
V	03006027
c	c
i	c03006027.23
m	Ex. 29:37; Num. 4:15; Hag.
V	03006030
c	e
i	c03006030.24
m	Lev. 4:7, 11, 16:27; [Heb. 13:11, 12] f Ex. 26:33
V	03006030
c	g
i	c03006030.25
m	Lev. 6:16, 23,
V	03006030
c	h
i	c03006030.26
m	Lev. 16:27 9 The
