C	Chapter 5
V	62005001
c	a
i	c62005001.1
m	Rev. 17:1,
V	62005002
c	c
i	c62005002.2
m	Is. 13:19; 21:9;
V	62005005
c	i
i	c62005005.3
m	Gen. 18:20
V	62005006
c	k
i	c62005006.4
m	Ps. 137:8; Jer.
V	62005007
c	n
i	c62005007.5
m	Ezek. 28:2-8
V	62005008
c	p
i	c62005008.6
m	Is. 47:9; Jer.
V	62005009
c	s
i	c62005009.7
m	Ezek. 26:16;
V	62005010
c	v
i	c62005010.8
m	Is. 21:9 w Rev.
V	62005011
c	x
i	c62005011.9
m	Ezek. 27:27-34
V	62005012
c	y
i	c62005012.10
m	Ezek. 27:12-
V	62005013
c	z
i	c62005013.11
m	1 Chr. 5:21;
V	62005016
c	a
i	c62005016.12
m	Rev. 17:18
V	62005017
c	c
i	c62005017.13
m	Rev. 18:10 d Is.
V	62005018
c	e
i	c62005018.14
m	Ezek. 27:30
V	62005019
c	g
i	c62005019.15
m	Josh. 7:6; Job
V	62005020
c	i
i	c62005020.16
m	Is. 44:23;
V	62005021
c	k
i	c62005021.17
m	Jer. 51:63,
V	62005022
c	m
i	c62005022.18
m	Eccl. 12:4; Jer.
V	62005023
c	n
i	c62005023.19
m	Jer. 25:10
V	62005024
c	r
i	c62005024.20
m	Rev. 16:6; 17:6
