C	Chapter 4
V	45004002
c	a
i	c45004002.1
m	1 Cor. 7:39
V	45004003
c	b
i	c45004003.2
m	[Matt. 5:32]
V	45004004
c	c
i	c45004004.3
m	Rom. 8:2; Gal.
V	45004005
c	e
i	c45004005.4
m	Rom. 6:13
V	45004006
c	g
i	c45004006.5
m	Rom. 2:29;
V	45004007
c	h
i	c45004007.6
m	Rom. 3:20 i Ex.
V	45004008
c	j
i	c45004008.7
m	Rom. 4:15
V	45004010
c	l
i	c45004010.8
m	Lev. 18:5;
V	45004012
c	m
i	c45004012.9
m	Ps. 19:8
V	45004014
c	n
i	c45004014.10
m	1 Kin. 21:20,
V	45004015
c	o
i	c45004015.11
m	Rom. 7:19;
V	45004018
c	p
i	c45004018.12
m	[Gen. 6:5;
V	45004022
c	q
i	c45004022.13
m	Ps. 1:2
V	45004023
c	s
i	c45004023.14
m	Rom. 6:19;
V	45004024
c	u
i	c45004024.15
m	[Rom. 8:11;
V	45004025
c	v
i	c45004025.16
m	1 Cor. 15:57
