C	Chapter 9
V	28009001
c	b
i	c28009001.1
m	Acts 11:22
V	28009001
c	c
i	c28009001.2
m	Rom. 16:21
V	28009002
c	d
i	c28009002.3
m	Num. 8:14; Acts 9:15; 22:21; Rom. 1:1; Gal. 1:15; 2:9 e Matt. 9:38; Acts 14:26; Rom. 10:15; Eph. 3:7, 8; 1 Tim. 2:7; 2 Tim. 1:11; Heb. 5:4
V	28009003
c	f
i	c28009003.4
m	Matt. 9:15; Mark 2:20; Luke 5:35; Acts 6:6
V	28009004
c	g
i	c28009004.5
m	Acts 4:36
V	28009005
c	h
i	c28009005.6
m	[Acts 13:46]
V	28009005
c	i
i	c28009005.7
m	Acts 12:25; 15:37
V	28009006
c	j
i	c28009006.8
m	Acts 8:9 1 NU
V	28009008
c	k
i	c28009008.9
m	Ex. 7:11; 2 Tim.
V	28009009
c	l
i	c28009009.10
m	Acts 2:4; 4:8
V	28009010
c	m
i	c28009010.11
m	Matt. 13:38; John 8:44; [1 John
V	28009011
c	n
i	c28009011.12
m	Ex. 9:3;
V	28009013
c	o
i	c28009013.13
m	Acts 15:38
V	28009014
c	p
i	c28009014.14
m	Acts 16:13
V	28009015
c	q
i	c28009015.15
m	Luke 4:16
V	28009015
c	r
i	c28009015.16
m	Heb. 13:22
V	28009016
c	s
i	c28009016.17
m	Acts 10:35
V	28009017
c	t
i	c28009017.18
m	Ex. 6:1, 6; 13:14, 16; Deut. 7:6-8 u Acts 7:17
V	28009017
c	v
i	c28009017.19
m	Ex. 14:8 4 M
V	28009019
c	x
i	c28009019.20
m	Deut. 7:1
V	28009019
c	y
i	c28009019.21
m	Josh. 14:1, 2; 19:51; Ps. 78:55
V	28009020
c	z
i	c28009020.22
m	Judg. 2:16;
V	28009021
c	b
i	c28009021.23
m	1 Sam. 8:5 c
V	28009022
c	d
i	c28009022.24
m	1 Sam. 15:23, 26, 28 e
V	28009023
c	h
i	c28009023.25
m	Is. 11:1 #
V	28009023
c	i
i	c28009023.26
m	Ps. 132:11 j [Matt. 1:21] 6 M
V	28009024
c	k
i	c28009024.27
m	Matt. 3:1; [Luke 3:3]
V	28009025
c	l
i	c28009025.28
m	Matt. 3:11; Mark 1:7; Luke 3:16 m John
V	28009026
c	n
i	c28009026.29
m	Ps. 66:16
V	28009026
c	o
i	c28009026.30
m	Matt. 10:6
V	28009027
c	p
i	c28009027.31
m	Luke 23:34
V	28009032
c	v
i	c28009032.32
m	[Gen. 3:15] repented of them (see Ps. 51).
V	28009033
c	w
i	c28009033.33
m	Ps. 2:7; Heb.
V	28009034
c	x
i	c28009034.34
m	Is. 55:3 #
V	28009035
c	y
i	c28009035.35
m	Ps. 16:10 #; Acts 2:27
V	28009036
c	z
i	c28009036.36
m	Acts 2:29 2 in
V	28009038
c	a
i	c28009038.37
m	Jer. 31:34
V	28009039
c	b
i	c28009039.38
m	[Is. 53:11; John 3:16]
V	28009041
c	c
i	c28009041.39
m	Hab. 1:5
V	28009043
c	d
i	c28009043.40
m	Acts 11:23
V	28009043
c	e
i	c28009043.41
m	Titus 2:11; Heb. 12:15; 1 Pet. 5:12
V	28009045
c	f
i	c28009045.42
m	Acts 18:6; 1 Pet. 4:4; Jude
V	28009046
c	g
i	c28009046.43
m	Matt. 10:6; Acts 3:26; Rom. 1:16 h Ex. 32:10; Deut. 32:21; Is. 55:5; Matt. 21:43; Rom. 10:19 i Acts
V	28009047
c	j
i	c28009047.44
m	Is. 42:6; 49:6; Luke 2:32
V	28009048
c	k
i	c28009048.45
m	[Acts 2:47]
V	28009050
c	l
i	c28009050.46
m	Acts 7:52; 2 Tim. 3:11
V	28009051
c	m
i	c28009051.47
m	Matt. 10:14; Mark 6:11; [Luke
V	28009052
c	n
i	c28009052.48
m	Matt. 5:12; John 16:22 o Acts
