C	Chapter 9
V	12009001
c	a
i	c12009001.1
m	2 Chr. 24:1
V	12009002
c	b
i	c12009002.2
m	2 Kin. 11:4
V	12009004
c	d
i	c12009004.3
m	2 Kin. 22:4
V	12009004
c	e
i	c12009004.4
m	Ex. 30:13-16
V	12009004
c	f
i	c12009004.5
m	Lev. 27:2-28 g Ex. 35:5; 1 Chr. 29:3-9
V	12009006
c	h
i	c12009006.6
m	2 Chr. 24:5
V	12009007
c	i
i	c12009007.7
m	2 Chr. 24:6
V	12009009
c	k
i	c12009009.8
m	Mark 12:41; Luke 21:1
V	12009010
c	l
i	c12009010.9
m	2 Sam. 8:17; 2 Kin. 19:2; 22:3,
V	12009012
c	m
i	c12009012.10
m	2 Kin. 22:5,
V	12009013
c	n
i	c12009013.11
m	2 Chr. 24:14
V	12009015
c	o
i	c12009015.12
m	2 Kin. 22:7; [1 Cor. 4:2]; 2 Cor.
V	12009016
c	p
i	c12009016.13
m	[Lev. 5:15, 18] q [Lev. 7:7; Num.
V	12009017
c	r
i	c12009017.14
m	2 Kin. 8:12 s 2 Chr. 24:23
V	12009018
c	t
i	c12009018.15
m	1 Kin. 15:18; 2 Kin. 16:8;
V	12009020
c	u
i	c12009020.16
m	2 Kin. 14:5;
V	12009021
c	v
i	c12009021.17
m	2 Chr. 24:27 2 Chr. 24:26
