C	Chapter 23
V	12023001
c	a
i	c12023001.1
m	Gen. 1:27; 2:7; 5:1, 2, 5 b Gen.
V	12023004
c	c
i	c12023004.2
m	Gen. 5:28–10:1
V	12023005
c	d
i	c12023005.3
m	Gen. 10:2-4 Gen. 10:4
V	12023008
c	e
i	c12023008.4
m	Gen. 10:6 Gen. 10:7
V	12023010
c	f
i	c12023010.5
m	Gen. 10:8-10,
V	12023012
c	g
i	c12023012.6
m	Deut. 2:23
V	12023013
c	h
i	c12023013.7
m	Gen. 9:18, 25-
V	12023017
c	i
i	c12023017.8
m	Gen. 10:22- 29; 11:10 j Luke 3:36 7 Mash, Gen. Gen. 10:25
V	12023020
c	k
i	c12023020.9
m	Gen. 10:26
V	12023032
c	s
i	c12023032.10
m	Gen. 25:1-4
V	12023034
c	t
i	c12023034.11
m	Gen. 21:2
V	12023034
c	u
i	c12023034.12
m	Gen. 25:9, 25, 26,
V	12023035
c	v
i	c12023035.13
m	Gen. 36:10-19
V	12023036
c	w
i	c12023036.14
m	Gen. 36:12
V	12023038
c	x
i	c12023038.15
m	Gen. 36:20-28 Gen. 36:23
V	12023041
c	y
i	c12023041.16
m	Gen. 36:25
V	12023043
c	z
i	c12023043.17
m	Gen. 36:31-43
V	12023048
c	a
i	c12023048.18
m	Gen. 36:37 36:39 2 Pau, Gen.
