C	Chapter 5
V	25005001
c	a
i	c25005001.1
m	Matt. 1:1; 3:1; Luke 3:22 b Ps. 2:7; Matt. 14:33; Luke 1:35
V	25005002
c	c
i	c25005002.2
m	Mal. 3:1 #; Matt. 11:10; Luke
V	25005003
c	d
i	c25005003.3
m	Is. 40:3 #; Matt. 3:3; Luke 3:4; John 1:23
V	25005004
c	e
i	c25005004.4
m	Mal. 4:6 #; Matt. 3:1; Luke 3:3
V	25005005
c	f
i	c25005005.5
m	Matt. 3:5
V	25005006
c	g
i	c25005006.6
m	Matt. 3:4
V	25005007
c	h
i	c25005007.7
m	Matt. 3:11; John 1:27; Acts
V	25005008
c	i
i	c25005008.8
m	Acts 1:5; 11:16
V	25005008
c	j
i	c25005008.9
m	Is. 44:3; John 20:22; [Acts 2:4; 10:45, 46; 1 Cor.
V	25005009
c	k
i	c25005009.10
m	Matt. 3:13-17; Luke 3:21, 22 Matt. 3:13-17; Luke 3:21-23
V	25005010
c	l
i	c25005010.11
m	Ezek. 1:1; Matt. 3:16; John 1:32
V	25005011
c	n
i	c25005011.12
m	[Ps. 2:7]; Is. 42:1 #; Matt. 3:17; 12:18; Mark 9:7; Luke 3:22
V	25005012
c	o
i	c25005012.13
m	Matt. 4:1-11; Luke 4:1-13 5 sent
V	25005013
c	p
i	c25005013.14
m	Matt. 4:10,
V	25005014
c	q
i	c25005014.15
m	Matt. 4:12
V	25005014
c	r
i	c25005014.16
m	Matt. 4:23 6 NU
V	25005015
c	s
i	c25005015.17
m	Dan. 9:25; [Gal. 4:4; Eph. 1:10; 1 Tim. 2:6]; Titus 1:3 t Matt. 3:2; 4:17; [Acts
V	25005016
c	u
i	c25005016.18
m	Matt. 4:18-22; Luke 5:2-11; John
V	25005017
c	v
i	c25005017.19
m	Matt. 13:47, Matt. 4:18-22
V	25005021
c	x
i	c25005021.20
m	Matt. 4:13; Luke 4:31-37 y Ps. 22:22; Matt. 4:23; Luke 4:16; 13:10
V	25005022
c	z
i	c25005022.21
m	Matt. 7:28, 29;
V	25005023
c	a
i	c25005023.22
m	[Matt. 12:43]; Mark 5:2; 7:25; Luke 4:33
V	25005024
c	b
i	c25005024.23
m	Matt. 8:28, 29; Mark 5:7, 8; Luke 8:28 c Mark 3:11; Luke 4:41; James 2:19 d Ps. 16:10
V	25005025
c	e
i	c25005025.24
m	[Luke 4:39]
V	25005026
c	f
i	c25005026.25
m	Mark 9:20
V	25005028
c	g
i	c25005028.26
m	Matt. 4:24;
V	25005029
c	h
i	c25005029.27
m	Matt. 8:14, 15; Luke 4:38,
V	25005032
c	i
i	c25005032.28
m	Matt. 8:16, 17; Luke 4:40,
V	25005034
c	j
i	c25005034.29
m	Matt. 9:33; Luke 13:32 k Mark 3:12; Luke 4:41; Acts 16:17,
V	25005035
c	l
i	c25005035.30
m	Luke 4:42,
V	25005037
c	n
i	c25005037.31
m	Matt. 4:25; John 3:26; 12:19 o [Heb. 11:6]
V	25005038
c	p
i	c25005038.32
m	Luke 4:43 q [Is. 61:1, 2; Mark 10:45; John 16:28;
V	25005042
c	v
i	c25005042.33
m	Matt. 15:28; Mark 5:29
V	25005043
c	m
i	c25005043.34
m	Matt. 26:39, 44; Mark 6:46; Luke 5:16; 6:12; 9:28, 29; Heb. 5:7
V	25005044
c	w
i	c25005044.35
m	Lev. 14:1-32
V	25005045
c	x
i	c25005045.36
m	Matt. 28:15; Luke 5:15 y Mark 2:2, 13; 3:7; Luke 5:17; John 6:2
