C	Chapter 1
V	36001009
c	h
i	c36001009.1
m	1 Tim. 5:14
V	36001010
c	i
i	c36001010.2
m	Mark 10:6-10
V	36001010
c	j
i	c36001010.3
m	Mal. 2:14; [Matt.
V	36001014
c	k
i	c36001014.4
m	Ezra 9:2; Mal.
V	36001015
c	l
i	c36001015.5
m	Rom. 12:18
V	36001016
c	m
i	c36001016.6
m	Rom. 11:14; 1 Pet. 3:1
V	36001017
c	n
i	c36001017.7
m	1 Cor. 4:17
V	36001018
c	o
i	c36001018.8
m	Acts 15:1
V	36001019
c	p
i	c36001019.9
m	[Rom. 2:27, 29; Gal. 3:28; 5:6; 6:15; Col. 3:11] q [John 15:14]
V	36001022
c	r
i	c36001022.10
m	[John 8:36]; Rom. 6:18; Philem. 16 s [1 Cor. 9:21; Gal. 5:13]; Eph. 6:6; Col. 3:24; 1 Pet.
V	36001023
c	t
i	c36001023.11
m	Lev. 25:42; 1 Cor. 6:20; 1 Pet. 1:18, 19; Rev. 5:9
V	36001024
c	u
i	c36001024.12
m	[Eph. 6:5-8; Col. 3:22-24]
V	36001025
c	v
i	c36001025.13
m	2 Cor. 8:8 w 2 Cor. 4:1; 1 Tim. 1:13, 16 x 1 Tim.
V	36001026
c	y
i	c36001026.14
m	1 Cor. 7:1,
V	36001031
c	a
i	c36001031.15
m	1 Cor. 9:18
V	36001031
c	b
i	c36001031.16
m	Ps. 39:6; 1 Cor. 7:29; James 1:10; 4:14; 1 Pet. 1:24; 4:7; [1 John 2:17]
V	36001032
c	c
i	c36001032.17
m	1 Tim. 5:5
V	36001034
c	d
i	c36001034.18
m	Luke 10:40
V	36001038
c	e
i	c36001038.19
m	Heb. 13:4
V	36001039
c	f
i	c36001039.20
m	Rom. 7:2 g 2 Cor. 6:14
V	36001040
c	h
i	c36001040.21
m	1 Cor. 7:6, 25 i 1 Thess. 4:8
