C	Chapter 10
V	17010003
c	a
i	c17010003.1
m	Job 10:18, 19; Jer. 20:14-18
V	17010005
c	b
i	c17010005.2
m	Job 10:21, 22; Jer. 13:16; Amos
V	17010008
c	c
i	c17010008.3
m	Jer. 9:17
V	17010011
c	d
i	c17010011.4
m	Job 10:18,
V	17010012
c	e
i	c17010012.5
m	Gen. 30:3
V	17010016
c	g
i	c17010016.6
m	Ps. 58:8
V	17010017
c	h
i	c17010017.7
m	Job 17:16
V	17010018
c	i
i	c17010018.8
m	Job 39:7 6 are
V	17010020
c	j
i	c17010020.9
m	Jer. 20:18 k 2 Kin. 4:27 wait m Prov. 2:4
V	17010022
c	n
i	c17010022.10
m	Job 7:15,
V	17010023
c	o
i	c17010023.11
m	Job 19:8; Ps. 88:8; Lam. 3:7
V	17010025
c	p
i	c17010025.12
m	[Job 9:28;
