C	Chapter 2
V	37002001
c	a
i	c37002001.1
m	1 Cor. 12:4;
V	37002002
c	b
i	c37002002.2
m	1 Cor. 6:11; Eph. 2:11; 1 Pet. 4:3 c Ps. 115:5; Is. 46:7; Jer. 10:5; Hab. 2:18 1 NU,
V	37002003
c	d
i	c37002003.3
m	Matt. 16:17
V	37002004
c	e
i	c37002004.4
m	Rom. 12:3-8; 1 Cor. 12:11; Eph. 4:4, 11; Heb. 2:4 f Eph. 4:4
V	37002005
c	g
i	c37002005.5
m	Rom. 12:6
V	37002006
c	h
i	c37002006.6
m	1 Cor. 15:28; Eph. 1:23; 4:6 5 all
V	37002008
c	i
i	c37002008.7
m	1 Cor. 2:6, 7; 2 Cor. 1:12 j Rom. 15:14; [1 Cor. 2:11, 16]; 2 Cor. 8:7
V	37002009
c	k
i	c37002009.8
m	Matt. 17:19; [1 Cor. 13:2]; 2 Cor. 4:13 l Matt. 10:1; Mark 3:15; 16:18; James 5:14
V	37002010
c	m
i	c37002010.9
m	Mark 16:17
V	37002010
c	n
i	c37002010.10
m	Rom. 12:6 o 1 John 4:1 p Acts 2:4-11
V	37002011
c	q
i	c37002011.11
m	Rom. 12:6; 2 Cor. 10:13 r [John 3:8]
V	37002018
c	x
i	c37002018.12
m	1 Cor. 12:28
V	37002018
c	y
i	c37002018.13
m	Rom. 12:3
V	37002027
c	z
i	c37002027.14
m	Rom. 12:5; Eph. 1:23; 4:12; 5:23, 30; Col. 1:24
V	37002027
c	a
i	c37002027.15
m	Eph. 5:30
V	37002028
c	b
i	c37002028.16
m	Eph. 4:11 c [Eph. 2:20; 3:5]
V	37002028
c	d
i	c37002028.17
m	Acts 13:1; Rom. 12:6 e 1 Cor. 12:10, 29; Gal. 3:5 f Mark 16:18; 1 Cor. 12:9,
V	37002030
c	g
i	c37002030.18
m	Num. 11:17
V	37002030
c	h
i	c37002030.19
m	Rom. 12:8; 1 Tim. 5:17; Heb.
V	37002031
c	i
i	c37002031.20
m	1 Cor. 14:1,
