C	Chapter 8
V	15008001
c	a
i	c15008001.1
m	Neh. 10:1
V	15008001
c	b
i	c15008001.2
m	Neh. 2:1 c Esth. 1:1, 2, 5; Dan. 8:2
V	15008002
c	d
i	c15008002.3
m	Neh. 7:2
V	15008003
c	e
i	c15008003.4
m	Neh. 7:6 f Neh. 2:17 g Neh. 2:17 h 2 Kin. 25:10
V	15008005
c	i
i	c15008005.5
m	Dan. 9:4 j Neh. 4:14 k [Ex. 20:6; 34:6, 7]; Ps. 89:2,
V	15008006
c	m
i	c15008006.6
m	Ezra 10:1; Neh. 9:2; Dan. 9:20
V	15008007
c	n
i	c15008007.7
m	Ps. 106:6; Dan. 9:5 o Deut. 28:15
V	15008008
c	p
i	c15008008.8
m	Lev. 26:33; Deut. 4:25-27;
V	15008009
c	q
i	c15008009.9
m	Lev. 26:39; [Deut. 4:29-31; 30:2-5] r Deut.
V	15008010
c	s
i	c15008010.10
m	Ex. 32:11; Deut. 9:29; Dan.
V	15008011
c	t
i	c15008011.11
m	Neh. 1:6 u Is. 26:8; [Heb. 13:18]
V	15008011
c	v
i	c15008011.12
m	Gen. 40:21; Neh. 2:1
