C	Chapter 3
V	30003001
c	a
i	c30003001.1
m	Acts 21:27
V	30003001
c	b
i	c30003001.2
m	Acts 23:2, 30,
V	30003005
c	c
i	c30003005.3
m	Luke 23:2; Acts 6:13; 16:20; 17:6; 21:28; 1 Pet.
V	30003006
c	d
i	c30003006.4
m	Acts 21:28
V	30003006
c	e
i	c30003006.5
m	John 18:31
V	30003007
c	f
i	c30003007.6
m	Acts 21:33;
V	30003008
c	g
i	c30003008.7
m	Acts 23:30
V	30003011
c	h
i	c30003011.8
m	Acts 21:15, 18,
V	30003012
c	i
i	c30003012.9
m	Acts 25:8;
V	30003014
c	j
i	c30003014.10
m	Amos 8:14; Acts 9:2; 24:22 k 2 Tim. 1:3 l Acts
V	30003015
c	m
i	c30003015.11
m	Acts 23:6; n [Dan. 12:2; John
V	30003016
c	o
i	c30003016.12
m	Acts 23:1
V	30003017
c	p
i	c30003017.13
m	Acts 11:29, 30; Rom. 15:25- 28; 1 Cor. 16:1-4; 2 Cor. 8:1-4; 9:1, 2, 12; Gal. 2:10
V	30003018
c	q
i	c30003018.14
m	Acts 21:27; 26:21 r Acts 21:26
V	30003019
c	s
i	c30003019.15
m	[Acts 23:30;
V	30003021
c	t
i	c30003021.16
m	[Acts 23:6; 24:15; 28:20] 22:4
V	30003021
c	v
i	c30003021.17
m	Acts 23:26; 24:7
V	30003022
c	u
i	c30003022.18
m	Acts 9:2; 18:26; 19:9, 23; 23:34 the governor: Antonius Felix governed Judea from a.d. 18:28; Phil. 1:13).
V	30003023
c	w
i	c30003023.19
m	Acts 23:16;
V	30003024
c	x
i	c30003024.20
m	[John 3:15; 20:31; Rom. 10:9]
V	30003026
c	y
i	c30003026.21
m	Ex. 23:8 7 NU
V	30003027
c	z
i	c30003027.22
m	Ex. 23:2; Acts 12:3; 23:35;
