C	Chapter 3
V	01003001
c	a
i	c01003001.1
m	1 Chr. 21:1; [Rev. 12:9; 20:2, 10] b 2 Cor. 11:3
V	01003002
c	c
i	c01003002.2
m	Gen. 2:16, 17
V	01003003
c	d
i	c01003003.3
m	Ex. 19:12, 13; Rev. 22:14
V	01003004
c	e
i	c01003004.4
m	John 8:44; [2 Cor. 11:3; 1 Tim. 2:14]
V	01003006
c	f
i	c01003006.5
m	1 John 2:16 g 1 Tim. 2:14
V	01003007
c	h
i	c01003007.6
m	Gen. 2:25
V	01003008
c	i
i	c01003008.7
m	Job 38:1 j Job 31:33; Jer. 23:24
V	01003010
c	k
i	c01003010.8
m	Gen. 2:25; Ex. 3:6; Deut. 9:19; 1 John 3:20
V	01003012
c	l
i	c01003012.9
m	[Prov. 28:13]
V	01003013
c	m
i	c01003013.10
m	Gen. 3:4; 2 Cor. 11:3; 1 Tim. 2:14
V	01003014
c	n
i	c01003014.11
m	Deut. 28:15- 20; Is. 65:25; Mic. 7:17
V	01003015
c	o
i	c01003015.12
m	John 8:44; Acts 13:10; 1 John 3:8 p Is. 7:14; Luke 1:31, 34, 35; Gal. 4:4 q Rom. 16:20; [Rev. 12:7, 17]
V	01003016
c	r
i	c01003016.13
m	Is. 13:8; John 16:21 s Gen. 4:7 t 1 Cor. 11:3; Eph. 5:22; 1 Tim. 2:12, 15
V	01003017
c	u
i	c01003017.14
m	1 Sam. 15:23
V	01003017
c	v
i	c01003017.15
m	Gen. 2:17 w Gen. 5:29; Rom. 8:20-22; Heb. 6:8 x Job 5:7; 14:1; Eccl. 2:23
V	01003018
c	y
i	c01003018.16
m	Ps. 104:14
V	01003019
c	z
i	c01003019.17
m	2 Thess. 3:10
V	01003019
c	a
i	c01003019.18
m	Gen. 2:7; 5:5
V	01003019
c	b
i	c01003019.19
m	Job 21:26; Eccl. 3:20
V	01003020
c	c
i	c01003020.20
m	2 Cor. 11:3; 1 Tim. 2:13
V	01003023
c	d
i	c01003023.21
m	Gen. 4:2; 9:20
V	01003024
c	e
i	c01003024.22
m	Ezek. 31:3, 11 f Ex. 25:18-22; Ps. 104:4; Ezek. 10:1-20; Heb. 1:7 g Gen. 2:8 h Gen. 2:9; [Rev. 22:2]
