C	Chapter 41
V	23041003
c	a
i	c23041003.1
m	Ps. 1:4; Is. 17:13; Dan. 2:35
V	23041004
c	b
i	c23041004.2
m	Is. 43:11 c Is. [1 Tim. 2:5]
V	23041005
c	d
i	c23041005.3
m	Deut. 2:7; 32:10 e Deut. 8:15
V	23041006
c	f
i	c23041006.4
m	Deut. 8:12, 14; 32:13-15; Jer. 5:7
V	23041007
c	g
i	c23041007.5
m	Lam. 3:10; Hos. 5:14 h Jer. 5:6
V	23041010
c	j
i	c23041010.6
m	Deut. 32:38 k
V	23041011
c	l
i	c23041011.7
m	1 Sam. 8:7;
V	23041012
c	m
i	c23041012.8
m	Deut. 32:34, 35; Job 14:17; [Rom. 2:5]
V	23041013
c	n
i	c23041013.9
m	Is. 13:8; Mic.
V	23041014
c	o
i	c23041014.10
m	[1 Cor. 15:54, 55] p Jer.
V	23041015
c	q
i	c23041015.11
m	Gen. 41:6; Jer. 4:11, 12; Ezek.
V	23041016
c	r
i	c23041016.12
m	2 Kin. 18:12 s 2 Kin. 15:16
