C	Chapter 6
V	42006001
c	a
i	c42006001.1
m	Col. 3:8 b 1 Cor. 9:24; Gal. 2:2; Heb. 10:39 c Rom. 12:12; Heb. 10:36
V	42006002
c	d
i	c42006002.2
m	Luke 24:26
V	42006002
c	e
i	c42006002.3
m	Ps. 69:7, 19 #; Phil. 2:8; [Heb. 2:9] f Ps. 110:1
V	42006003
c	g
i	c42006003.4
m	Matt. 10:24
V	42006003
c	h
i	c42006003.5
m	Gal. 6:9; Heb.
V	42006004
c	i
i	c42006004.6
m	[1 Cor. 10:13]
V	42006005
c	j
i	c42006005.7
m	Job 5:17; Prov. 3:11,
V	42006006
c	k
i	c42006006.8
m	Ps. 94:12; Rev.
V	42006007
c	l
i	c42006007.9
m	Deut. 8:5;
V	42006007
c	m
i	c42006007.10
m	Prov. 13:24;
V	42006008
c	n
i	c42006008.11
m	1 Pet. 5:9
V	42006009
c	o
i	c42006009.12
m	[Job 12:10]
V	42006010
c	p
i	c42006010.13
m	Lev. 11:44
V	42006014
c	s
i	c42006014.14
m	Ps. 34:14
V	42006014
c	t
i	c42006014.15
m	Matt. 5:8; [Heb.
V	42006015
c	u
i	c42006015.16
m	2 Cor. 6:1; Gal. 5:4; Heb. 4:1
V	42006015
c	v
i	c42006015.17
m	Deut. 29:18
V	42006016
c	w
i	c42006016.18
m	[1 Cor. 6:13- 18] x Gen. 25:33
V	42006017
c	y
i	c42006017.19
m	Gen. 27:30-40
V	42006018
c	z
i	c42006018.20
m	Ex. 19:12, 16; 20:18; Deut.
V	42006019
c	a
i	c42006019.21
m	Ex. 20:18-26; Deut. 5:25; 18:16
V	42006020
c	b
i	c42006020.22
m	Ex. 19:12,
V	42006023
c	d
i	c42006023.23
m	[James 1:18]
V	42006023
c	e
i	c42006023.24
m	Luke 10:20 f Gen. 18:25; Ps. 50:6; 94:2 g [Phil. 3:12]
V	42006024
c	h
i	c42006024.25
m	1 Tim. 2:5; Heb. 8:6; 9:15 i Ex. 24:8 j Gen. 4:10; Heb. 11:4
V	42006025
c	k
i	c42006025.26
m	Heb. 2:2,
V	42006026
c	l
i	c42006026.27
m	Hag. 2:6 2 NU
V	42006027
c	m
i	c42006027.28
m	[Is. 34:4; 54:10; 65:17; Rom. 8:19, 21]; 1 Cor. 7:31; Heb. 1:10
V	42006028
c	n
i	c42006028.29
m	Heb. 13:15,
V	42006029
c	o
i	c42006029.30
m	Ex. 24:17
