C	Chapter 30
V	24030001
c	b
i	c24030001.1
m	Gen. 25:6; 1 Kin. 4:30 1 Gr.
V	24030002
c	c
i	c24030002.2
m	Luke 2:11 d [Num. 24:17 #; Is. 60:3]
V	24030004
c	e
i	c24030004.3
m	2 Chr. 36:14 f 2 Chr. 34:13
V	24030004
c	g
i	c24030004.4
m	Mal. 2:7
V	24030006
c	h
i	c24030006.5
m	Mic. 5:2; John 7:42 # i Gen. 49:10; [Rev. 2:27]
V	24030007
c	j
i	c24030007.6
m	Num. 24:17
V	24030011
c	k
i	c24030011.7
m	Ps. 72:10; Is. 60:6
V	24030012
c	l
i	c24030012.8
m	[Job 33:15, 16]; Matt. 1:20
V	24030015
c	m
i	c24030015.9
m	Num. 24:8; Hos. 11:1 #
V	24030020
c	o
i	c24030020.10
m	Luke 2:39
V	24030022
c	q
i	c24030022.11
m	Matt. 2:12, 13, 19 r Matt. 3:13; Luke 2:39
V	24030023
c	s
i	c24030023.12
m	Luke 1:26; 2:39; John 1:45,
V	24030023
c	t
i	c24030023.13
m	Judg. 13:5 #
