C	Chapter 8
V	24008003
c	a
i	c24008003.1
m	Ezek. 22:27
V	24008003
c	b
i	c24008003.2
m	Jer. 5:6; Hab. 1:8
V	24008004
c	c
i	c24008004.3
m	Hos. 9:7 d Ezek. 22:26; Mal. 2:7,
V	24008007
c	f
i	c24008007.4
m	Jer. 8:6 g Gen.
V	24008008
c	h
i	c24008008.5
m	Prov. 20:22; Mic. 7:7; Hab. 2:3
V	24008008
c	i
i	c24008008.6
m	Is. 66:18; Ezek. 38:14-23; Joel 3:2; Mic. 4:12; Matt. 25:32 j Zeph. 1:18 found in remote areas (see Is. 34:11). Their presence in the
V	24008009
c	k
i	c24008009.7
m	Is. 19:18; 57:19
V	24008010
c	l
i	c24008010.8
m	Ps. 68:31; Is. 18:1; Acts 8:27
V	24008011
c	m
i	c24008011.9
m	Is. 2:12; 5:15; Matt. 3:9
V	24008012
c	n
i	c24008012.10
m	Is. 14:32; Zech. 13:8,
V	24008013
c	o
i	c24008013.11
m	Is. 10:20-22; [Mic. 4:7] p Is. 60:21 q Zech. 8:3, 16; Rev. 14:5
V	24008013
c	r
i	c24008013.12
m	Ezek. 34:13-15,
V	24008014
c	s
i	c24008014.13
m	Is. 12:6
V	24008015
c	t
i	c24008015.14
m	[John 1:49]
V	24008015
c	u
i	c24008015.15
m	Ezek. 48:35; [Rev. 7:15] 6 So
V	24008016
c	v
i	c24008016.16
m	Is. 35:3,
V	24008016
c	w
i	c24008016.17
m	Job 4:3; Heb.
V	24008017
c	x
i	c24008017.18
m	Zeph. 3:5,
V	24008017
c	y
i	c24008017.19
m	Deut. 30:9; Is. 62:5; 65:19; Jer.
