C	Chapter 20
V	44020001
c	a
i	c44020001.1
m	Acts 7:2
V	44020002
c	b
i	c44020002.2
m	Acts 21:40
V	44020003
c	c
i	c44020003.3
m	Acts 21:39;
V	44020004
c	i
i	c44020004.4
m	Acts 8:3; 26:9-
V	44020005
c	j
i	c44020005.5
m	Acts 23:14; 24:1;
V	44020006
c	m
i	c44020006.6
m	Acts 9:3;
V	44020009
c	n
i	c44020009.7
m	Dan. 10:7; Acts
V	44020012
c	o
i	c44020012.8
m	Acts 9:17
V	44020014
c	r
i	c44020014.9
m	Acts 3:13; 5:30
V	44020015
c	w
i	c44020015.10
m	Acts 23:11
V	44020016
c	y
i	c44020016.11
m	Acts 2:38;
V	44020017
c	a
i	c44020017.12
m	Acts 9:26;
V	44020018
c	b
i	c44020018.13
m	Acts 22:14
V	44020019
c	d
i	c44020019.14
m	Acts 8:3; 22:4
V	44020019
c	e
i	c44020019.15
m	Matt. 10:17;
V	44020020
c	f
i	c44020020.16
m	Acts 7:54–8:1
V	44020021
c	h
i	c44020021.17
m	Acts 9:15;
V	44020022
c	i
i	c44020022.18
m	Acts 21:36;
V	44020025
c	k
i	c44020025.19
m	Acts 16:37
