C	Chapter 14
V	20014001
c	a
i	c20014001.1
m	Gen. 10:10; 11:9; 2 Kin. 17:24; Is. 13:1; 47:1; Dan. 1:1; Rev. 14:8
V	20014002
c	b
i	c20014002.2
m	Is. 21:9 c Is. 46:1; Jer. 51:44
V	20014002
c	d
i	c20014002.3
m	Jer. 43:12,
V	20014003
c	e
i	c20014003.4
m	Jer. 51:48; Dan. 5:30, 31 f Is.
V	20014004
c	g
i	c20014004.5
m	Ezra 2:1; Is. 11:12, 13; Jer. 3:18; 31:31; 33:7; Hos. 1:11 h Ezra 3:12, 13; [Ps. 126:5]; Jer. 31:9; [Zech. 12:10]
V	20014004
c	i
i	c20014004.6
m	Hos. 3:5
V	20014005
c	j
i	c20014005.7
m	Jer. 31:31
V	20014006
c	k
i	c20014006.8
m	Is. 53:6; [Ezek. 34:15, 16]; Matt. 9:36; 10:6; 1 Pet. 2:25 l Jer. 23:1; Ezek. 34:2 m [Jer.
V	20014007
c	n
i	c20014007.9
m	Ps. 79:7 o Jer. 40:2, 3; Zech. 11:5
V	20014007
c	p
i	c20014007.10
m	Jer. 2:3; Dan. 9:16 q [Ps. 90:1; 91:1]
V	20014007
c	r
i	c20014007.11
m	Ps. 22:4; Jer. 14:8;
V	20014008
c	s
i	c20014008.12
m	Is. 48:20; Jer. 51:6, 45; Zech. 2:6, 7; [Rev. 18:4] Lord that they would not forget or reject (see Ezek. 16:60).
V	20014009
c	t
i	c20014009.13
m	Jer. 15:14; 51:27 u
V	20014010
c	v
i	c20014010.14
m	[Rev. 17:16]
V	20014011
c	w
i	c20014011.15
m	Is. 47:6 x Hos.
V	20014011
c	z
i	c20014011.16
m	Jer. 51:29 a Jer.
V	20014012
c	y
i	c20014012.17
m	Jer. 51:43
V	20014013
c	z
i	c20014013.18
m	Jer. 25:12 a Jer.
V	20014014
c	b
i	c20014014.19
m	Jer. 51:2
V	20014014
c	h
i	c20014014.20
m	Jer. 2:15 i 2 Kin. 15:29; 17:6; 18:9-13 j 2 Kin.
V	20014015
c	c
i	c20014015.21
m	1 Chr. 29:24; 2 Chr. 30:8; Lam. 5:6; Ezek. 17:18
V	20014015
c	d
i	c20014015.22
m	Jer. 51:58 e Jer.
V	20014016
c	f
i	c20014016.23
m	Is. 13:14; Jer.
V	20014017
c	g
i	c20014017.24
m	2 Kin. 24:10,
V	20014019
c	l
i	c20014019.25
m	Is. 65:10; Jer. 33:12; Ezek. 34:13
V	20014020
c	m
i	c20014020.26
m	Num. 23:21; Is. 43:25; [Jer. 31:34; Mic. 7:19]
V	20014020
c	n
i	c20014020.27
m	Is. 1:9
V	20014021
c	o
i	c20014021.28
m	Ezek. 23:23 p
V	20014022
c	q
i	c20014022.29
m	Jer. 51:54
V	20014023
c	r
i	c20014023.30
m	Is. 14:6; Jer.
V	20014024
c	s
i	c20014024.31
m	Jer. 51:8, 31; Dan. 5:30 t [Is.
V	20014025
c	u
i	c20014025.32
m	Is. 13:5
V	20014027
c	v
i	c20014027.33
m	Ps. 22:12; Is. 34:7; Jer. 46:21
V	20014027
c	w
i	c20014027.34
m	Ps. 37:13; Jer. 48:44; Ezek. 7:7
V	20014028
c	x
i	c20014028.35
m	Ps. 149:6-9; Jer. 51:10
V	20014029
c	y
i	c20014029.36
m	Ps. 137:8; Jer. 51:56; [2 Thess. 1:6]; Rev. 18:6 z [Is.
V	20014030
c	a
i	c20014030.37
m	Is. 13:18; Jer.
V	20014032
c	b
i	c20014032.38
m	Is. 26:5; Mal. 4:1 c Jer. 21:14
V	20014034
c	d
i	c20014034.39
m	Prov. 23:11; Is. 43:14; Jer. 15:21; 31:11; Rev. 18:8 e Is. 47:4 f Jer. 51:36; Mic. 7:9
V	20014035
c	g
i	c20014035.40
m	Dan. 5:30 h Is. 47:13; Jer. 51:57 (see 2 Chr. 36:22, 23; Is. 45:1). (see Is. 47:4), offers to obtain the legal freedom of His people
V	20014036
c	i
i	c20014036.41
m	Is. 44:25; Jer.
V	20014037
c	j
i	c20014037.42
m	Jer. 25:20; Ezek. 30:5 k Jer. 51:30; Nah. 3:13
V	20014038
c	l
i	c20014038.43
m	Is. 44:27; Jer. 51:36; Rev. 16:12
V	20014039
c	m
i	c20014039.44
m	Is. 13:21, 22; 34:14; Jer. 51:37; Rev. 18:2 n Is. 13:20; Jer. 25:12
V	20014040
c	o
i	c20014040.45
m	Gen. 19:24, 25; Is. 13:19; Jer. 49:18; [Luke 17:28- 30]; 2 Pet. 2:6; Jude 7 p Is. 13:20
V	20014041
c	q
i	c20014041.46
m	Is. 13:2-5; Jer.
V	20014042
c	r
i	c20014042.47
m	Jer. 6:23 s Is. 13:18 t Is. 5:30
V	20014043
c	u
i	c20014043.48
m	Jer. 51:31 v Jer.
V	20014044
c	w
i	c20014044.49
m	Jer. 49:19-21
V	20014044
c	x
i	c20014044.50
m	Job 41:10; Jer.
V	20014045
c	y
i	c20014045.51
m	[Ps. 33:11; Is. 14:24]; Jer. 51:10,
V	20014046
c	b
i	c20014046.52
m	Rev. 18:9
