C	Chapter 5
V	17005001
c	a
i	c17005001.1
m	Esth. 7:6
V	17005001
c	b
i	c17005001.2
m	Esth. 2:7,
V	17005002
c	c
i	c17005002.3
m	Esth. 3:10
V	17005004
c	d
i	c17005004.4
m	Esth. 4:11; 5:2
V	17005005
c	e
i	c17005005.5
m	Esth. 3:13
V	17005006
c	f
i	c17005006.6
m	Neh. 2:3; Esth.
V	17005007
c	g
i	c17005007.7
m	Esth. 8:1; Prov.
V	17005008
c	h
i	c17005008.8
m	Esth. 1:19; Dan. 6:8, 12,
V	17005009
c	i
i	c17005009.9
m	Esth. 3:12
V	17005009
c	j
i	c17005009.10
m	Esth. 1:1 k Esth.
V	17005010
c	l
i	c17005010.11
m	1 Kin. 21:8; Esth. 3:12,
V	17005011
c	m
i	c17005011.12
m	Esth. 9:2
V	17005011
c	n
i	c17005011.13
m	Esth. 9:10, 15,
V	17005012
c	o
i	c17005012.14
m	Esth. 3:13; 9:1
V	17005013
c	p
i	c17005013.15
m	Esth. 3:14,
V	17005015
c	q
i	c17005015.16
m	Esth. 3:15; Prov. 29:2 6 violet
V	17005016
c	r
i	c17005016.17
m	Ps. 97:11;
V	17005017
c	s
i	c17005017.18
m	1 Sam. 25:8; Esth. 9:19 t Ps. 18:43 u Gen. 35:5; Ex. 15:16; Deut. 2:25; 11:25; 1 Chr. 14:17; Esth. 9:2
