C	Chapter 8
V	27008001
c	a
i	c27008001.1
m	Matt. 20:19; 27:26 #; Mark 15:15; Luke 18:33
V	27008003
c	b
i	c27008003.2
m	Is. 50:6 1 NU
V	27008004
c	c
i	c27008004.3
m	Is. 53:9; John 18:33, 38; 1 Pet.
V	27008006
c	d
i	c27008006.4
m	Acts 3:13
V	27008007
c	e
i	c27008007.5
m	Lev. 24:16
V	27008007
c	f
i	c27008007.6
m	Matt. 26:63-66; John 5:18; 10:33
V	27008009
c	g
i	c27008009.7
m	Is. 53:7 #; Matt. 27:12, 14; Luke 23:9
V	27008011
c	h
i	c27008011.8
m	[Luke 22:53]; John 7:30
V	27008012
c	j
i	c27008012.9
m	Luke 23:2; John 18:33; Acts
V	27008013
c	k
i	c27008013.10
m	Deut. 1:17;
V	27008014
c	l
i	c27008014.11
m	Matt. 27:62; John 19:31,
V	27008015
c	m
i	c27008015.12
m	[Gen. 49:10]
V	27008016
c	n
i	c27008016.13
m	Matt. 27:26, 31; Mark 15:15; Luke 23:24 4 NU
V	27008017
c	o
i	c27008017.14
m	Matt. 27:31, 33; Mark 15:21, 22; Luke 23:26,
V	27008017
c	p
i	c27008017.15
m	Num. 15:36; Heb.
V	27008018
c	q
i	c27008018.16
m	Ps. 22:16-18; Is. 53:12; Matt.
V	27008023
c	s
i	c27008023.17
m	Matt. 27:35; Mark 15:24; Luke
V	27008024
c	t
i	c27008024.18
m	Ps. 22:18 #
V	27008025
c	u
i	c27008025.19
m	Matt. 27:55; Mark 15:40; Luke 2:35; 23:49 v Luke
V	27008026
c	w
i	c27008026.20
m	John 13:23;
V	27008026
c	x
i	c27008026.21
m	John 2:4
V	27008027
c	y
i	c27008027.22
m	Luke 18:28; John 1:11; 16:32; Acts 21:6
V	27008028
c	z
i	c27008028.23
m	Ps. 22:15 #
V	27008029
c	a
i	c27008029.24
m	Ps. 69:21; Matt. 27:48, 50 #; Mark 15:36; Luke
V	27008030
c	b
i	c27008030.25
m	Dan. 9:26; Zech. 11:10, 11 #; John 17:4
V	27008031
c	c
i	c27008031.26
m	Matt. 27:62; Mark 15:42; Luke 23:54 d Deut. 21:23; Josh. 8:29; 10:26 e Ex. 12:16; Lev. 23:6,
V	27008034
c	f
i	c27008034.27
m	[1 John 5:6, 8]
V	27008035
c	g
i	c27008035.28
m	John 21:24 h [John 20:31]
V	27008036
c	i
i	c27008036.29
m	[Ex. 12:46; Num. 9:12]; Ps.
V	27008038
c	k
i	c27008038.30
m	Matt. 27:57- 61; Mark 15:42-47; Luke 23:50-56 # l [John 7:13; 9:22;
V	27008039
c	m
i	c27008039.31
m	John 3:1, 2; 7:50 n Ps. 45:8; Prov. 7:17; Song 4:14; Matt. 2:11
V	27008040
c	o
i	c27008040.32
m	Luke 24:12; John 20:5, 7; Acts 5:6
V	27008042
c	p
i	c27008042.33
m	Is. 53:9; Matt. 26:12; Mark 14:8 # q John
