C	Chapter 5
V	04005002
c	a
i	c04005002.1
m	Lev. 13:3, 8, 46; Num. 12:10, 14,
V	04005002
c	b
i	c04005002.2
m	Lev. 15:2 c Lev. 21:1; Num. 9:6, 10;
V	04005003
c	d
i	c04005003.3
m	Lev. 26:11, 12; Num. 35:34; [2 Cor. 6:16]
V	04005006
c	e
i	c04005006.4
m	Lev. 5:14–6:7
V	04005007
c	f
i	c04005007.5
m	Lev. 5:5; 26:40, 41; Josh. 7:19; Ps. 32:5; 1 John 1:9
V	04005007
c	g
i	c04005007.6
m	Lev. 6:4,
V	04005008
c	h
i	c04005008.7
m	Lev. 5:15; 6:6,
V	04005009
c	i
i	c04005009.8
m	Ex. 29:28; Lev.
V	04005013
c	l
i	c04005013.9
m	Lev. 18:20; 20:10 m John 8:4
V	04005014
c	j
i	c04005014.10
m	Lev. 7:32-34;
V	04005014
c	n
i	c04005014.11
m	Prov. 6:34; Song 8:6
V	04005015
c	o
i	c04005015.12
m	Lev. 5:11 p 1 Kin. 17:18; Ezek. 29:16; Heb.
V	04005018
c	q
i	c04005018.13
m	Heb. 13:4
V	04005021
c	r
i	c04005021.14
m	Josh. 6:26;
V	04005022
c	t
i	c04005022.15
m	Ps. 109:18
V	04005022
c	u
i	c04005022.16
m	Deut. 27:15-26
V	04005025
c	v
i	c04005025.17
m	Lev. 8:27
V	04005025
c	w
i	c04005025.18
m	Lev. 2:2,
V	04005026
c	x
i	c04005026.19
m	Lev. 2:2,
V	04005027
c	y
i	c04005027.20
m	Deut. 28:37; Is. 65:15; Jer. 24:9;
V	04005027
c	z
i	c04005027.21
m	Num. 5:21
V	04005029
c	a
i	c04005029.22
m	Num. 5:19
V	04005031
c	b
i	c04005031.23
m	Lev. 20:17,
