C	Chapter 5
V	01005002
c	a
i	c01005002.1
m	Jer. 49:16; Ezek. 31:10 b Is. 14:14; 47:8; Ezek. 28:9; 2 Thess. 2:4
V	01005002
c	c
i	c01005002.2
m	Ezek. 27:3, 4 d Is. 31:3; Ezek. 28:9
V	01005003
c	e
i	c01005003.3
m	Ezek. 14:14; Dan. 1:20; 2:20- Zech. 9:3
V	01005004
c	f
i	c01005004.4
m	Ezek. 27:33; Zech. 9:1-3
V	01005005
c	g
i	c01005005.5
m	Ps. 62:10; Zech. 9:3
V	01005007
c	h
i	c01005007.6
m	Ezek. 26:7
V	01005007
c	i
i	c01005007.7
m	Ezek. 7:24; 21:31; 30:11; Hab. 1:6-8
V	01005008
c	j
i	c01005008.8
m	Is. 14:15
V	01005009
c	k
i	c01005009.9
m	Ezek. 28:2
V	01005010
c	l
i	c01005010.10
m	1 Sam. 17:26, 36; Ezek. 31:18;
V	01005012
c	m
i	c01005012.11
m	Ezek. 27:2
V	01005012
c	n
i	c01005012.12
m	Ezek. 27:3;
V	01005013
c	o
i	c01005013.13
m	Gen. 2:8; Is. 51:3; Ezek. 31:8, 9; 36:35 p Ezek.
V	01005014
c	q
i	c01005014.14
m	Ex. 25:20; Ezek. 28:16 r Is. 14:13; Ezek. 20:40
V	01005014
c	j
i	c01005014.15
m	Jer. 31:5; Amos
V	01005015
c	s
i	c01005015.16
m	[Is. 14:12]
V	01005016
c	t
i	c01005016.17
m	Ezek. 28:14
V	01005017
c	u
i	c01005017.18
m	Ezek. 28:2,
V	01005019
c	v
i	c01005019.19
m	Ezek. 26:21
V	01005019
c	w
i	c01005019.20
m	Ezek. 27:36
V	01005021
c	x
i	c01005021.21
m	Ezek. 6:2; 25:2; 29:2 y Gen. 10:15, 19; Is. 23:2, 4, 12; Ezek. 27:8;
V	01005022
c	z
i	c01005022.22
m	Ex. 14:4, 17; Ezek. 39:13 a Ps. 9:16 b Ezek. 28:25
V	01005023
c	c
i	c01005023.23
m	Ezek. 38:22
V	01005024
c	d
i	c01005024.24
m	Num. 33:55; Josh. 23:13; Is. 55:13; Ezek. 2:6
V	01005025
c	f
i	c01005025.25
m	Ps. 106:47; Is. 11:12, 13; Jer. 32:37; Ezek. 11:17;
V	01005025
c	g
i	c01005025.26
m	Ezek. 28:22
V	01005026
c	h
i	c01005026.27
m	Jer. 23:6; Ezek. 36:28 i Is. 65:21; Jer. 32:15, 43, 44; Amos 9:13,
