C	Chapter 4
V	46004001
c	a
i	c46004001.1
m	Eph. 5:1
V	46004003
c	b
i	c46004003.2
m	Eph. 1:22; 4:15;
V	46004004
c	e
i	c46004004.3
m	1 Cor. 12:10
V	46004005
c	f
i	c46004005.4
m	Deut. 21:12
V	46004006
c	g
i	c46004006.5
m	Num. 5:18
V	46004007
c	h
i	c46004007.6
m	Gen. 1:26, 27; 5:1; 9:6; James 3:9
V	46004007
c	i
i	c46004007.7
m	Gen. 2:21-23; 1 Tim. 2:13
V	46004009
c	j
i	c46004009.8
m	Gen. 2:18
V	46004011
c	k
i	c46004011.9
m	[Gal. 3:28]
V	46004016
c	l
i	c46004016.10
m	1 Tim. 6:4
V	46004018
c	n
i	c46004018.11
m	1 Cor. 1:10-
V	46004019
c	o
i	c46004019.12
m	Matt. 18:7;
V	46004021
c	q
i	c46004021.13
m	2 Pet. 2:13;
V	46004022
c	r
i	c46004022.14
m	1 Cor. 10:32
V	46004023
c	t
i	c46004023.15
m	1 Cor. 15:3;
V	46004026
c	v
i	c46004026.16
m	John 14:3;
V	46004027
c	w
i	c46004027.17
m	[John 6:51]
V	46004028
c	x
i	c46004028.18
m	Matt. 26:22;
V	46004031
c	y
i	c46004031.19
m	[Ps. 32:5;
V	46004032
c	z
i	c46004032.20
m	2 Sam. 7:14;
V	46004033
c	a
i	c46004033.21
m	1 Cor. 14:26
