C	Chapter 16
V	46016001
c	a
i	c46016001.1
m	Acts 11:29;
V	46016002
c	b
i	c46016002.2
m	2 Cor. 8:10
V	46016003
c	c
i	c46016003.3
m	2 Cor. 8:6,
V	46016006
c	d
i	c46016006.4
m	Prov. 11:24;
V	46016007
c	e
i	c46016007.5
m	Deut. 15:7
V	46016008
c	g
i	c46016008.6
m	[Prov. 11:24]
V	46016009
c	h
i	c46016009.7
m	Ps. 112:9
V	46016010
c	i
i	c46016010.8
m	Is. 55:10 j Hos.
V	46016011
c	k
i	c46016011.9
m	2 Cor. 1:11
V	46016012
c	l
i	c46016012.10
m	2 Cor. 8:14
V	46016013
c	m
i	c46016013.11
m	[Matt. 5:16]
V	46016014
c	o
i	c46016014.12
m	2 Cor. 8:1
V	46016015
c	p
i	c46016015.13
m	[John 3:16;
