C	Chapter 29
V	02029001
c	a
i	c02029001.1
m	Lev. 8; [Heb.
V	02029002
c	b
i	c02029002.2
m	Lev. 2:4;
V	02029004
c	c
i	c02029004.3
m	Ex. 40:12; Lev. 8:6; [Heb. 10:22]
V	02029005
c	d
i	c02029005.4
m	Ex. 28:2; Lev. 8:7 e Ex. 28:8
V	02029006
c	f
i	c02029006.5
m	Ex. 28:36, 37; Lev. 8:9
V	02029007
c	g
i	c02029007.6
m	Ex. 25:6; 30:25- 31; Lev. 8:12; 10:7; 21:10; Num. 35:25; Ps. 133:2
V	02029008
c	h
i	c02029008.7
m	Ex. 28:39, 40; Lev. 8:13
V	02029009
c	i
i	c02029009.8
m	Ex. 40:15; Num. Deut. 18:5 j Ex. 28:41; Lev.
V	02029010
c	k
i	c02029010.9
m	Lev. 1:4; 8:14
V	02029012
c	l
i	c02029012.10
m	Lev. 8:15 m Ex. 27:2; 30:2; Lev. 4:7
V	02029013
c	n
i	c02029013.11
m	Lev. 1:8; 3:3,
V	02029014
c	o
i	c02029014.12
m	Lev. 4:11, 12, 21; Heb. 13:11
V	02029015
c	p
i	c02029015.13
m	Lev. 8:18
V	02029015
c	q
i	c02029015.14
m	Lev. 1:4-9
V	02029016
c	r
i	c02029016.15
m	Ex. 24:6; Lev.
V	02029017
c	l
i	c02029017.16
m	Ex. 12:43; Lev.
V	02029018
c	s
i	c02029018.17
m	Ex. 20:24
V	02029019
c	t
i	c02029019.18
m	Lev. 8:22 10:1, 2;
V	02029021
c	u
i	c02029021.19
m	Ex. 30:25, 31; Lev. 8:30 v Ex. 28:41; 29:1; [Heb.
V	02029023
c	w
i	c02029023.20
m	Lev. 8:26
V	02029024
c	x
i	c02029024.21
m	Lev. 7:30;
V	02029025
c	y
i	c02029025.22
m	Lev. 8:28
V	02029026
c	z
i	c02029026.23
m	Lev. 7:31,
V	02029027
c	a
i	c02029027.24
m	Lev. 7:31, 34; Num. 18:11, 18; Deut. 18:3
V	02029028
c	b
i	c02029028.25
m	Lev. 10:15
V	02029028
c	c
i	c02029028.26
m	Lev. 3:1; 7:34
V	02029029
c	d
i	c02029029.27
m	Ex. 28:2
V	02029029
c	e
i	c02029029.28
m	Num. 20:26,
V	02029029
c	f
i	c02029029.29
m	Ex. 28:41; 30:30; Num. 18:8 20:28 h Lev. 8:35
V	02029031
c	i
i	c02029031.30
m	Lev. 8:31
V	02029032
c	j
i	c02029032.31
m	Matt. 12:4
V	02029033
c	k
i	c02029033.32
m	Lev. 10:14, 15,
V	02029034
c	m
i	c02029034.33
m	Ex. 12:10; 23:18; 34:25; Lev.
V	02029035
c	n
i	c02029035.34
m	Lev. 8:33-35
V	02029036
c	o
i	c02029036.35
m	Heb. 10:11
V	02029036
c	p
i	c02029036.36
m	Ex. 30:26-29;
V	02029037
c	q
i	c02029037.37
m	Num. 4:15; Hag. 2:11-13; Matt. 23:19
V	02029038
c	r
i	c02029038.38
m	Num. 28:3-31; 29:6-38; 1 Chr. 16:40; Ezra 3:3
V	02029038
c	s
i	c02029038.39
m	Dan. 12:11
V	02029039
c	t
i	c02029039.40
m	Ezek. 46:13-15 more on the wave offering, see Lev. 7:30; 10:14.
V	02029041
c	u
i	c02029041.41
m	1 Kin. 18:29, 36; 2 Kin. 16:15; Ezra 9:4, 5; Ps.
V	02029042
c	v
i	c02029042.42
m	Ex. 30:8 w Ex. Num. 17:4
V	02029043
c	x
i	c02029043.43
m	Ex. 40:34; 1 Kin. 8:11; 2 Chr. 5:14; Ezek. 43:5; Hag. 2:7,
V	02029044
c	y
i	c02029044.44
m	Lev. 21:15
V	02029045
c	z
i	c02029045.45
m	Ex. 25:8; Lev. 26:12; Num. 5:3; Deut. 12:11; Zech. 2:10; [John 14:17, 23; Rev. 21:3]
V	02029045
c	a
i	c02029045.46
m	Gen. 17:8; Lev.
V	02029046
c	b
i	c02029046.47
m	Ex. 16:12; 20:2; Deut. 4:35
V	02029046
c	c
i	c02029046.48
m	Lev. 11:45
