C	Chapter 3
V	19003001
c	a
i	c19003001.1
m	Prov. 11:15
V	19003004
c	b
i	c19003004.2
m	Ps. 132:4
V	19003006
c	c
i	c19003006.3
m	Job 12:7
V	19003009
c	d
i	c19003009.4
m	Prov. 24:33,
V	19003011
c	e
i	c19003011.5
m	Prov. 10:4
V	19003013
c	f
i	c19003013.6
m	Job 15:12; Ps. 35:19; Prov. 10:10
V	19003014
c	g
i	c19003014.7
m	Prov. 3:29; Mic. 2:1 h Prov.
V	19003015
c	i
i	c19003015.8
m	Prov. 24:22; Is. 30:13; 1 Thess. 5:3
V	19003015
c	j
i	c19003015.9
m	Jer. 19:11 k 2 Chr.
V	19003017
c	l
i	c19003017.10
m	Ps. 101:5; Prov. 21:4 m Ps. 120:2; Prov. 12:22 n Deut. 19:10; Prov. 28:17;
V	19003018
c	p
i	c19003018.11
m	2 Kin. 5:20-27; Is. 59:7; Rom. 3:15
V	19003019
c	q
i	c19003019.12
m	Ps. 27:12; Prov. 19:5, 9; Matt. 26:59-66
V	19003019
c	r
i	c19003019.13
m	Prov. 6:14; 1 Cor. 1:11-13; [Jude 3, 4,
V	19003020
c	s
i	c19003020.14
m	Eph. 6:1
V	19003021
c	t
i	c19003021.15
m	Prov. 3:3
V	19003022
c	u
i	c19003022.16
m	[Prov. 3:23]
V	19003022
c	v
i	c19003022.17
m	Prov. 2:11
V	19003023
c	w
i	c19003023.18
m	Ps. 19:8; 2 Pet. 1:19
V	19003024
c	x
i	c19003024.19
m	Prov. 2:16
V	19003025
c	y
i	c19003025.20
m	Matt. 5:28
V	19003026
c	z
i	c19003026.21
m	Prov. 29:3
V	19003026
c	a
i	c19003026.22
m	Gen. 39:14
V	19003026
c	b
i	c19003026.23
m	Ezek. 13:18
V	19003031
c	c
i	c19003031.24
m	Ex. 22:1-4
V	19003032
c	d
i	c19003032.25
m	Prov. 7:7
V	19003034
c	e
i	c19003034.26
m	Prov. 27:4; Song 8:6
