C	Chapter 4
V	25004001
c	a
i	c25004001.1
m	Mark 16:1-8; Luke 24:1-10; John 20:1-8 b Matt.
V	25004002
c	c
i	c25004002.2
m	Mark 16:5; Luke 24:4; John
V	25004003
c	d
i	c25004003.3
m	Dan. 7:9; 10:6; Mark 9:3; John 20:12; Acts 1:10
V	25004004
c	e
i	c25004004.4
m	Rev. 1:17
V	25004006
c	f
i	c25004006.5
m	Hos. 6:2; Ps. 16:10; 49:15; Matt.
V	25004007
c	g
i	c25004007.6
m	Matt. 26:32; 28:10, 16; Mark
V	25004009
c	h
i	c25004009.7
m	Mark 16:9; John 20:14 2 NU
V	25004016
c	j
i	c25004016.8
m	Matt. 26:32; 28:7, 10; Mark
V	25004017
c	k
i	c25004017.9
m	John 20:24-29
V	25004018
c	l
i	c25004018.10
m	[Dan. 7:13, 14]; Matt. 11:27; Luke 1:32; 10:22; John 3:35; Acts 2:36; Rom. 14:9; 1 Cor. 15:27; [Eph. 1:10, 21]; Phil. 2:9, 10; [Heb. 1:2]; 1 Pet. 3:22
V	25004019
c	m
i	c25004019.11
m	Mark 16:15
V	25004019
c	n
i	c25004019.12
m	Is. 52:10; Luke 24:47; [Acts 2:38, 39]; Rom. 10:18; Col. 1:23 3 M
