C	Chapter 21
V	44021001
c	a
i	c44021001.1
m	Acts 24:16;
V	44021002
c	b
i	c44021002.2
m	1 Kin. 22:24;
V	44021003
c	c
i	c44021003.3
m	Lev. 19:35;
V	44021005
c	d
i	c44021005.4
m	Lev. 5:17,
V	44021006
c	f
i	c44021006.5
m	Acts 26:5; Phil.
V	44021008
c	h
i	c44021008.6
m	Matt. 22:23;
V	44021009
c	i
i	c44021009.7
m	Acts 25:25;
V	44021011
c	l
i	c44021011.8
m	Acts 18:9;
V	44021012
c	o
i	c44021012.9
m	Acts 23:21, 30;
V	44021014
c	q
i	c44021014.10
m	Acts 4:5, 23;
V	44021020
c	r
i	c44021020.11
m	Acts 23:12
V	44021023
c	s
i	c44021023.12
m	Acts 8:40;
V	44021027
c	t
i	c44021027.13
m	Acts 21:30,
V	44021028
c	u
i	c44021028.14
m	Acts 22:30
V	44021029
c	v
i	c44021029.15
m	Acts 18:15;
V	44021030
c	x
i	c44021030.16
m	Acts 23:20
V	44021033
c	z
i	c44021033.17
m	Acts 8:40
V	44021034
c	b
i	c44021034.18
m	Acts 6:9; 21:39
V	44021035
c	c
i	c44021035.19
m	Acts 24:1, 10;
