C	Chapter 16
V	05016001
c	a
i	c05016001.1
m	Deut. 12:29
V	05016002
c	b
i	c05016002.2
m	Ex. 21:13; Num. 35:10-15; Deut. 4:41; Josh. 20:2
V	05016004
c	c
i	c05016004.3
m	Num. 35:9- 34; Deut. 4:42
V	05016006
c	d
i	c05016006.4
m	Num. 35:12
V	05016008
c	e
i	c05016008.5
m	Deut. 12:20
V	05016009
c	g
i	c05016009.6
m	Josh. 20:7-9
V	05016010
c	h
i	c05016010.7
m	Num. 35:33; Deut. 21:1-9
V	05016011
c	i
i	c05016011.8
m	Num. 35:16, 24; Deut. 27:24; [1 John 3:15]
V	05016013
c	j
i	c05016013.9
m	Deut. 13:8
V	05016013
c	k
i	c05016013.10
m	Num. 35:33, 34; 1 Kin. 2:31
V	05016014
c	l
i	c05016014.11
m	Deut. 27:17; Job 24:2; Prov. 22:28; Hos. 5:10
V	05016015
c	m
i	c05016015.12
m	Num. 35:30; Deut. 17:6; Matt. 18:16; John 8:17; 2 Cor. 13:1; 1 Tim. 5:19; Heb. 10:28
V	05016016
c	n
i	c05016016.13
m	Ex. 23:1; Ps.
V	05016017
c	o
i	c05016017.14
m	Deut. 17:8-
V	05016019
c	p
i	c05016019.15
m	Prov. 19:5; Dan. 6:24
V	05016019
c	q
i	c05016019.16
m	Deut. 13:5; 17:7;
V	05016020
c	r
i	c05016020.17
m	Deut. 17:13;
V	05016021
c	s
i	c05016021.18
m	Deut. 19:13
V	05016021
c	t
i	c05016021.19
m	Ex. 21:23, 24; Lev. 24:20; Matt.
